siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
006176762,00018,00617676200018,O,,,,,2019-11-14T14:00:38,true,1,,,,LD,BESLE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,1988-01-04,F,,,,,62.11,NAP,N
006176796,00016,00617679600016,O,,,,,,true,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
006176820,00022,00617682000022,O,1900-01-01,NN,,,2011-09-14T10:13:23,true,4,R  ARISTIDE BERTREUX,13,,RUE,ARISTIDE BERTREUX,44640,LE PELLERIN,,,44120,,,,,,,,,,,,,,,,,,,2010-12-25,F,,,,,93.29Z,NAFRev2,N
006176986,00013,00617698600013,O,,,,,2019-11-14T14:00:38,true,1,,,,AV,JEAN MERMOZ,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
006177000,00012,00617700000012,O,,,,,2019-11-14T14:00:38,true,1,,17,,RUE,DES ETAUX,44740,BATZ-SUR-MER,,,44010,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.06,NAP,N
006177067,00011,00617706700011,O,,,,,2019-11-14T14:00:39,true,1,,,,LD,LA CRIEE MUNICIPALE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.07,NAP,N
006177083,00018,00617708300018,O,,NN,,,,true,1,,16,,BD,DU NORD,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,,F,,,,,55.40,NAP,N
006177109,00011,00617710900011,O,,,,,,true,1,,,,,BOURG,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.48,NAP,N
006177158,00018,00617715800018,O,,NN,,,2019-11-14T14:00:38,true,1,,126,,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,,F,,,,,79.06,NAP,N
006177182,00034,00617718200034,O,1997-07-01,NN,,,2009-03-19T15:06:10,true,4,DOMAINE DE LA PREE,,,,LA GRANDE PREE,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,2008-12-31,F,,,,,42.99Z,NAFRev2,N
