siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005410675,00010,00541067500010,O,,,,,,true,1,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
005410717,00010,00541071700010,O,,NN,,,2019-11-14T14:01:01,true,1,,27,,RUE,SAINT JEAN,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,1990-10-31,F,,,,,65.06,NAP,N
005410733,00017,00541073300017,O,,NN,,,,true,1,,17,,,PETITE RUE NOTRE DAME,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,57.03,NAP,N
005410741,00010,00541074100010,O,,,,,,true,1,,,,AV,DE LA GARE,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N
005410758,00014,00541075800014,O,,,,,,true,1,,,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.05,NAP,N
005410816,00010,00541081600010,O,,NN,,,,true,1,,3,,RUE,DE L ARQUET,80370,HIERMONT,,,80440,,,,,,,,,,,,,,,,,,,,F,,,,,38.40,NAP,N
005410857,00014,00541085700014,O,,NN,,,,true,1,,37,,RUE,PIERRE SAUVAGE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
005410873,00029,00541087300029,O,1980-01-01,NN,,,,true,1,,9,,RUE,CHARLES DE GAULLE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,1999-12-31,F,,,,,70.2C,NAF1993,N
005410899,00024,00541089900024,O,2000-01-01,NN,,,2006-11-25T09:04:27,true,1,,21,,BD,VOLTAIRE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2001-03-22,F,,,,,74.1J,NAF1993,N
005410949,00019,00541094900019,O,,NN,,,,true,1,,35,,PL,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
005410980,00014,00541098000014,O,,,,,,true,1,,,,,,80132,MIANNAY,,,80546,,,,,,,,,,,,,,,,,,,1987-06-30,F,,,,,67.07,NAP,N
005411053,00019,00541105300019,O,,,,,,true,1,,,,RUE,D ABBEVILLE,80870,MOYENNEVILLE,,,80578,,,,,,,,,,,,,,,,,,,1991-03-31,F,,,,,65.03,NAP,N
005411236,00010,00541123600010,O,,,,,,true,1,,,,RUE,DU MOULIN,80220,MAISNIERES,,,80500,,,,,,,,,,,,,,,,,,,,F,,,,,55.40,NAP,N
005411343,00014,00541134300014,O,,,,,2019-11-14T14:01:00,true,1,,,,RUE,DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1992-10-31,F,,,,,50.1Z,NAF1993,N
005411434,00011,00541143400011,O,,,,,,true,1,,,,,,80120,FAVIERES,,,80303,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,65.02,NAP,N
005411483,00018,00541148300018,O,,,,,2019-11-14T14:01:00,true,1,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N
005411582,00017,00541158200017,O,1954-01-01,NN,,,2012-07-28T11:19:32,true,5,,47,,CHS,DU BOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2010-12-25,F,,,,,68.20B,NAFRev2,N
005411699,00019,00541169900019,O,,NN,,,2019-11-14T14:01:00,true,1,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1999-01-10,F,,,,,57.03,NAP,N
005411806,00010,00541180600010,O,,,,,,true,1,,,,RUE,ALFRED FRANCOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
005411954,00018,00541195400018,O,,,,,,true,1,,,,RUE,JULES VERNE,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N
005411962,00011,00541196200011,O,,,,,,true,1,,,,,,80150,DOMVAST,,,80250,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,67.05,NAP,N
005411996,00019,00541199600019,O,,NN,,,,true,1,,10,,AV,DE LA GARE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N
005420013,00012,00542001300012,O,,NN,,,,true,1,,264,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,62.21,NAP,N
005420021,00015,00542002100015,O,1900-01-01,NN,,,2010-04-18T03:00:20,false,6,,17,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2008-09-05,F,,,,,46.69B,NAFRev2,O
005420021,00023,00542002100023,O,1995-02-14,NN,,,2011-04-23T04:00:22,false,6,,,,RUE,TUROLD,76630,ENVERMEU,,,76235,,,,,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O
005420021,00031,00542002100031,O,1996-03-15,NN,,,2019-11-14T14:01:00,false,5,,134,,RUE,HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,,,80368,,,,,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O
005420021,00049,00542002100049,O,2008-09-05,NN,,,2011-04-23T04:00:22,false,2,ZAC DES DEUX VALLEES,52,,RUE,VENTOSE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2009-12-23,F,,,,,46.69B,NAFRev2,O
005420021,00056,00542002100056,O,2009-12-23,NN,,,2021-02-23T10:27:49,true,1,,21,B,BD,DES PRES,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2009-12-23,A,,,,,46.69B,NAFRev2,O
005420039,00017,00542003900017,O,,NN,,,,true,1,,3,,PL,DU PILORI,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,59.02,NAP,N
005420047,00010,00542004700010,O,1900-01-01,NN,,,2008-10-01T16:56:43,true,5,,114,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,45.3F,NAFRev1,O
005420047,00028,00542004700028,O,1973-07-01,NN,,,2006-10-26T23:33:47,false,3,,2,,,RIVE DROITE DE LA SOMME,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,52.4Y,NAFRev1,N
005420054,00024,00542005400024,O,,NN,,,2019-11-14T14:01:01,true,1,,54,,RUE,DES ECOLES,80970,SAILLY-FLIBEAUCOURT,,,80692,,,,,,,,,,,,,,,,,,,1999-08-31,F,,,,,28.6F,NAF1993,O
005420070,00020,00542007000020,O,,NN,,,,true,1,,2,,,VOIE NOUVELLE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1987-02-02,F,,,,,70.2C,NAF1993,N
005420088,00014,00542008800014,O,,,,,,true,1,,3,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1992-06-29,F,,,,,52.4N,NAF1993,N
005420104,00019,00542010400019,O,1954-01-01,NN,,,2015-05-14T03:02:02,true,5,,13,,PL,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2013-12-16,F,,,,,47.71Z,NAFRev2,O
005420120,00015,00542012000015,O,1989-01-27,02,2019,,2021-10-27T08:00:29,false,4,,,,RUE,DE LA FONTAINE,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,10.81Z,NAFRev2,O
005420120,00023,00542012000023,O,1900-01-01,NN,,,2019-11-14T14:00:50,false,5,,12,,RTE,DE MONTREUIL,62180,RANG-DU-FLIERS,,,62688,,,,,,,,,,,,,,,,,,,2014-04-30,A,,,,,52.10B,NAFRev2,N
005420120,00031,00542012000031,O,1900-01-01,03,2019,,2021-10-27T08:00:29,true,6,,,,RTE,NATIONALE,62140,MARCONNELLE,,,62550,,,,,,,,,,,,,,,,,,,2008-04-23,A,,,,,70.10Z,NAFRev2,O
005420120,00049,00542012000049,O,1900-01-01,NN,,,2021-01-13T08:45:19,false,6,,,,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,,,62233,,,,,,,,,,,,,,,,,,,2020-12-21,F,,,,,46.75Z,NAFRev2,N
005420146,00010,00542014600010,O,,,,,,true,1,,,,PL,DU GENERAL LECLERC,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N
005420153,00016,00542015300016,O,,,,,,true,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.12,NAP,N
005420187,00014,00542018700014,O,,,,,,true,1,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
005420195,00033,00542019500033,O,,NN,,,,true,1,,,,,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,,,80663,,,,,,,,,,,,,,,,,,,2001-07-31,F,,,,,51.2A,NAF1993,O
005420245,00010,00542024500010,O,,NN,,,,true,1,,2,,BD,VAUBAN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1986-07-03,F,,,,,81.21,NAP,N
005420260,00019,00542026000019,O,1900-01-01,,,,,true,3,,,,RUE,JOLIOT CURIE,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,20.01,NAP,N
005420278,00011,00542027800011,O,,,,,,true,1,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,44.33,NAP,N
005440011,00012,00544001100012,O,1991-09-30,NN,,,2012-04-12T03:45:09,true,4,LES MARRONNIERS,,,AV,DE VERDUN,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2012-02-02,F,,,,,68.20B,NAFRev2,N
005440078,00011,00544007800011,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
005440110,00038,00544011000038,O,1900-01-01,NN,,,2019-11-14T14:00:14,false,4,,,,CRS,PECHINEY,04600,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,52.4T,NAF1993,O
005440110,00053,00544011000053,O,1991-11-04,,,,2006-12-15T00:14:43,false,4,,13,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N
005440110,00061,00544011000061,O,1995-10-01,NN,,,2008-01-04T17:54:11,true,3,,6,,RUE,FIRMIN GUICHARD,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005440136,00017,00544013600017,O,,,,,,true,1,,,,,,04500,QUINSON,,,04158,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N
005440185,00014,00544018500014,O,1954-01-01,NN,,,2006-11-25T09:04:27,true,3,,,,,,04250,TURRIERS,,,04222,,,,,,,,,,,,,,,,,,,2006-03-01,F,,,,,52.1B,NAFRev1,N
005440219,00011,00544021900011,O,,,,,2019-08-27T14:09:28,true,1,,,,,,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440235,00017,00544023500017,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04170,THORAME-BASSE,,,04218,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.01,NAP,N
005440409,00018,00544040900018,O,,,,,,true,1,,,,RUE,CHAPUZIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N
005440508,00017,00544050800017,O,,NN,,,2019-11-14T14:00:14,true,1,,,,RTE,NEUVE,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,57.08,NAP,N
005440557,00014,00544055700014,O,,,,,,true,1,,,,PL,DES RECOLLETS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440565,00017,00544056500017,O,1954-01-01,NN,,,2008-01-04T17:54:11,true,3,,,,PL,DU GENERAL DE GAULLE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005440649,00019,00544064900019,O,,NN,,,2019-11-14T14:00:14,true,1,,,,RUE,LOGIS,04800,SAINT-MARTIN-DE-BROMES,,,04189,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,62.11,NAP,N
005440672,00011,00544067200011,O,,,,,,true,1,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440698,00016,00544069800016,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N
005440722,00014,00544072200014,O,,,,,,true,1,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N
005440755,00014,00544075500014,O,,,,,,true,1,,,,,,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
005440789,00013,00544078900013,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
005440797,00016,00544079700016,O,,NN,,,,true,1,,,,,,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,,F,,,,,60.07,NAP,N
005440813,00029,00544081300029,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,LE FOREST DE BAYONS,04250,LA MOTTE-DU-CAIRE,,,04134,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,55.3A,NAF1993,N
005440847,00019,00544084700019,O,,,,,,true,1,,,,,,04140,VERDACHES,,,04235,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.22,NAP,N
005440904,00018,00544090400018,O,,,,,,true,1,,,,HAM,LES BAUMES,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440938,00016,00544093800016,O,,,,,,true,1,,,,,,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,,F,,,,,01.80,NAP,N
005440987,00013,00544098700013,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04500,MONTAGNAC-MONTPEZAT,,,04124,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441027,00017,00544102700017,O,,,,,,true,1,,,,RUE,NEUVE,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441035,00010,00544103500010,O,,NN,,,,true,1,,18,,RUE,PIED DE VILLE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1995-06-30,F,,,,,52.1B,NAF1993,N
005441043,00014,00544104300014,O,1954-01-01,NN,,,2012-07-28T11:19:32,true,4,,5,,BD,VICTOR HUGO,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,68.20B,NAFRev2,N
005441068,00011,00544106800011,O,,,,,,true,1,,,,RUE,LT BLONDEAU,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,38.40,NAP,N
005441134,00011,00544113400011,O,,NN,,,,true,1,,42,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1J,NAF1993,N
005441159,00018,00544115900018,O,,,,,2019-11-14T14:00:14,true,1,,,,QUAI,SAINT AUBAN,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441191,00029,00544119100029,O,,,,,2019-11-14T14:00:14,true,1,,,,ALL,DES ERABLES,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.41,NAP,N
005441233,00011,00544123300011,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
005441241,00014,00544124100014,O,,,,,,true,1,,,,QUAI,PLANTIERS,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N
005441266,00011,00544126600011,O,,,,,,true,1,,,,,,04270,ESTOUBLON,,,04084,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441316,00014,00544131600014,O,,,,,,true,1,,,,,,04240,ANNOT,,,04008,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N
005441357,00018,00544135700018,O,,,,,,true,1,,,,,,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441365,00011,00544136500011,O,,NN,,,,true,1,,4,,PL,DU MARCHE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1990-05-02,F,,,,,58.11,NAP,N
005441373,00015,00544137300015,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,1987-06-10,F,,,,,81.21,NAP,N
005441399,00010,00544139900010,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04170,LA MURE-ARGENS,,,04136,,,,,,,,,,,,,,,,,,,1989-03-11,F,,,,,69.12,NAP,N
005441407,00011,00544140700011,O,,NN,,,,true,1,,,,RUE,BASSE,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,93.0D,NAF1993,N
005441449,00013,00544144900013,O,,,,,2020-01-24T10:20:03,true,1,,,,,,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441548,00012,00544154800012,O,,NN,,,,true,1,,39,,RUE,DE L HUBAC,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,F,,,,,64.49,NAP,N
005441589,00016,00544158900016,O,,,,,,true,1,,,,PL,DR ITARD,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,1990-06-08,F,,,,,59.08,NAP,N
005441597,00019,00544159700019,O,,,,,,true,1,,,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.45,NAP,N
005441613,00014,00544161300014,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.44,NAP,N
005441621,00017,00544162100017,O,,,,,2019-09-04T16:11:16,true,1,,,,,,04700,PUIMICHEL,,,04156,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441662,00011,00544166200011,O,,,,,,true,1,,,,PL,MARCHE,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
005450010,00011,00545001000011,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005450051,00015,00545005100015,O,,,,,,true,1,,,,QUAI,DE LA BONNETTE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005450093,00017,00545009300017,O,1900-01-01,NN,,,,false,4,,5,,ALL,L GARDIOL,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,2001-02-20,F,,,,,60.2B,NAF1993,O
005450093,00025,00545009300025,O,1991-01-01,,,,2011-01-28T08:54:07,false,4,,,,QUAI,STE ANNE,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,2010-12-31,F,,,,,45.20A,NAFRev2,N
