039208012,00011,03920801200011,O,1995-12-25,NN,,,2019-06-24T13:05:46,true,4,RIS REP PAR,114,,BD,SAINT GERMAIN,75006,PARIS 6,,,75106,,,,,,,,,,,,,,,,,,,2018-05-01,A,,,,,81.10Z,NAFRev2,N
039208020,00014,03920802000014,O,1995-12-25,01,2018,,2020-08-25T10:11:48,true,2,,13,,RUE,DES GRAVILLIERS,75003,PARIS 3,,,75103,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208038,00016,03920803800016,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,84 A 86,84,,RUE,DE RIVOLI,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208046,00019,03920804600019,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,2-4,2,,RUE,DES GRANDS DEGRES,75005,PARIS 5,,,75105,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208053,00015,03920805300015,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,,5,,RUE,DU SOMMERARD,75005,PARIS 5,,,75105,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208061,00018,03920806100018,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,,14,,,PROMENADE SAINT LEUFROY,92150,SURESNES,,,92073,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208079,00010,03920807900010,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,,11,,RUE,GRACIEUSE,75005,PARIS 5,,,75105,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208087,00013,03920808700013,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,RIS REP PAR,29,,RUE,CAMBACERES,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208095,00016,03920809500016,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,,24,,RUE,DU FOUR,75006,PARIS 6,,,75106,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208103,00018,03920810300018,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,75007 PARIS REP PAR,17,,AV,DE LA MOTTE PICQUET,75007,PARIS 7,,,75107,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208111,00011,03920811100011,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,,40,,RUE,DU BAC,75007,PARIS 7,,,75107,,,,,,2,,IMP,DE VALMY,75007,PARIS 7,,,75107,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208129,00013,03920812900013,O,1995-12-25,,,,2008-01-04T18:01:03,true,2,P PAR,1,,PL,DE L ECOLE,75001,PARIS 1,,,75101,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039208137,00016,03920813700016,O,1995-12-25,01,2019,,2021-10-27T08:02:15,true,2,007 PARIS REP PAR,66,,RUE,DE SAINTONGE,75003,PARIS 3,,,75103,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039208145,00019,03920814500019,O,1997-12-25,01,2019,,2021-10-27T08:02:15,true,2,,52,,RUE,DU FAUBOURG MONTMARTRE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
