301366217,00018,30136621700018,O,1900-01-01,NN,,,2019-11-21T10:50:47,true,3,,5,,RUE,DU GENERAL FRERE,54500,VANDOEUVRE-LES-NANCY,,,54547,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,93.12Z,NAFRev2,N
301366225,00037,30136622500037,O,1985-07-01,00,2019,2562BZ,2021-10-27T08:14:00,true,5,,5,,RUE,MARC SEGUIN,69740,GENAS,,,69277,,,,,,,,,,,,,,,,,,,2019-05-13,F,,,,,25.62B,NAFRev2,O
301366241,00018,30136624100018,O,,,,,,true,1,,8,,RUE,CARNOT,54190,VILLERUPT,,,54580,,,,,,,,,,,,,,,,,,,1991-09-30,F,,,,,64.23,NAP,N
301366258,00012,30136625800012,O,,NN,,,2006-11-25T09:13:04,true,1,,,,,,72220,ECOMMOY,,,72124,,,,,,,,,,,,,,,,,,,1988-12-25,F,,,,,97.23,NAP,N
301366282,00020,30136628200020,O,,NN,,,2019-11-14T14:00:53,true,1,,80,,RUE,DES LOUPS,68440,STEINBRUNN-LE-HAUT,,,68324,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
301366308,00023,30136630800023,O,1974-01-08,01,2019,,2021-10-27T08:14:00,true,4,,1,,RUE,CLEMENT BEURUAY,72230,ARNAGE,,,72008,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,82.19Z,NAFRev2,O
301366316,00026,30136631600026,O,,,,,2019-11-14T14:00:56,true,1,,,,AV,DU GENERAL DE GAULLE,72400,LA FERTE-BERNARD,,,72132,,,,,,,,,,,,,,,,,,,,F,,,,,77.14,NAP,N
301366332,00015,30136633200015,O,1900-01-01,NN,,,2009-06-27T03:36:01,false,6,,2,,RUE,DE L ESVIERE,49100,ANGERS,,,49007,,,,,,,,,,,,,,,,,,,2008-01-01,F,ECOLE PRIVE MATERN N D DE L ESVIERE,,,,85.10Z,NAFRev2,N
301366332,00023,30136633200023,O,1986-12-25,NN,,,2008-01-04T19:14:39,true,2,,2,,RUE,DE L ESVIERE,49100,ANGERS,,,49007,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,85.10Z,NAFRev2,N
301366332,00031,30136633200031,O,1986-12-25,NN,,,2008-01-04T19:14:39,false,2,,2,,RUE,DE L ESVIERE,49100,ANGERS,,,49007,,,,,,,,,,,,,,,,,,,2008-01-01,A,CANTINE ECOLE PRIVEE NOTRE DAME ESVIERE,,,,56.29B,NAFRev2,N
301366373,00027,30136637300027,O,1900-01-01,NN,,,2019-11-14T14:00:40,true,3,,,,RTE,DE SAINTE GEMMES,49130,LES PONTS-DE-CE,,,49246,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,70.2C,NAF1993,N
301366407,00015,30136640700015,O,1900-01-01,NN,,,2015-04-20T14:26:03,true,4,MAIRIE,11,,RUE,DU ROY,49420,CARBAY,,,49056,,,,,,,,,,,,,,,,,,,1998-12-25,A,,,,,94.99Z,NAFRev2,N
301366415,00059,30136641500059,O,,NN,,,,true,1,,46,,RUE,NATIONALE,49660,TORFOU,,,49350,,,,,,,,,,,,,,,,,,,1988-01-04,F,,,,,64.11,NAP,N
301366431,00015,30136643100015,O,,,,,,true,1,,,,PAS,FAUGIER,69007,LYON 7EME,,,69387,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,21.13,NAP,N
301366449,00017,30136644900017,O,,,,,2019-11-14T14:00:40,true,1,,,,,MAIRIE,49140,SEICHES-SUR-LE-LOIR,,,49333,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,95.21,NAP,N
301366464,00016,30136646400016,O,1900-01-01,NN,,,2008-11-07T00:17:25,false,4,,51,,RUE,DE L ERMITAGE,53000,LAVAL,,,53130,,,,,,,,,,,,,,,,,,,1994-12-25,F,,,,,45.3F,NAF1993,O
301366464,00024,30136646400024,O,1994-01-03,NN,,4322AZ,2016-12-23T03:52:29,true,4,GRENOUX,,,,ZA LES DAHINIERES,53810,CHANGE,,,53054,,,,,,,,,,,,,,,,,,,2014-09-10,A,,,,,43.22A,NAFRev2,N
301366472,00043,30136647200043,O,,NN,,,2019-11-14T14:00:43,true,1,,,,,LA CROIX DES LANDES,53940,SAINT-BERTHEVIN,,,53201,,,,,,,,,,,,,,,,,,,,F,,,,,55.73,NAP,N
301366480,00020,30136648000020,O,1900-01-01,NN,,,2008-01-04T19:14:39,true,3,,4,B,RUE,DE VERDUN,53000,LAVAL,,,53130,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,94.99Z,NAFRev2,N
301366498,00014,30136649800014,O,1990-12-31,NN,,,2016-04-26T01:38:42,false,5,,25,,RUE,PAUL MASSIMI,69007,LYON 7EME,,,69387,,,,,,,,,,,,,,,,,,,2014-12-31,A,,,,,55.90Z,NAFRev2,N
