047220058,00029,04722005800029,O,1985-12-28,00,2018,,2020-08-25T10:12:30,false,5,LOT U CENTRU,,,QUA,PORETTA,20137,PORTO-VECCHIO,,,2A247,,,,,,,,,,,,,,,,,,,2018-12-01,F,,,,,81.30Z,NAFRev2,O
047220058,00052,04722005800052,O,2018-12-01,12,2019,,2021-10-27T08:03:03,true,1,,,,,SUARELLE,20137,LECCI,,,2A139,,,,,,,,,,,,,,,,,,,2018-12-01,A,,,,,81.30Z,NAFRev2,O
047220074,00018,04722007400018,O,,NN,,,2019-11-14T14:00:29,true,1,,,,QUA,PORETTA,20137,PORTO-VECCHIO,,,2A247,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
047220082,00011,04722008200011,O,1900-01-01,NN,,,2008-01-04T18:06:34,true,3,,,,,,20129,BASTELICACCIA,,,2A032,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
047220082,00029,04722008200029,O,1900-01-01,,,,2008-01-04T18:06:34,false,3,,,,,,20129,BASTELICACCIA,,,2A032,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,47.11B,NAFRev2,N
047220108,00022,04722010800022,O,,,,,,true,1,,,,RES,DES GOLFES,20090,AJACCIO,,,2A004,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
047220116,00082,04722011600082,O,1993-12-01,NN,,,2021-02-22T09:37:30,false,7,,1,,PL,PAUL COLONNA D ISTRIA,20000,AJACCIO,,,2A004,,,,,,,,,,,,,,,,,,,2020-12-22,A,,,,,79.11Z,NAFRev2,O
047220116,00116,04722011600116,O,2016-06-15,,,,2021-04-07T10:00:14,true,1,,,,RTE,DE SARTENE VAZZIO,20090,AJACCIO,,,2A004,,,,,,,,,,,,,,,,,,,2016-06-15,A,,,,,70.10Z,NAFRev2,O
047220124,00011,04722012400011,O,,,,,,true,1,,,,,,20146,SOTTA,,,2A288,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
047220132,00014,04722013200014,O,,NN,,,,true,1,,,,CHE,D ALZO DI LEVA,20090,AJACCIO,,,2A004,,,,,,,,,,,,,,,,,,,,F,,,,,64.22,NAP,N
