038701249,00013,03870124900013,O,1995-12-25,NN,,,2008-01-04T17:56:22,true,2,,1,,RUE,LORD BYRON,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
038701256,00018,03870125600018,O,1995-12-25,01,2019,,2021-10-27T08:01:00,true,2,,3,,RUE,BALZAC,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
038701264,00012,03870126400012,O,1997-12-25,NN,,,2008-01-04T17:56:22,true,2,,2,,PAS,SAINT PHILIPPE DU ROULE,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
038701272,00015,03870127200015,O,1995-12-25,01,2019,,2021-10-27T08:01:00,true,2,16/18/18B,18,B,IMP,D ANTIN,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
038701280,00018,03870128000018,O,1995-12-25,NN,,,2008-01-04T17:56:22,true,2,,12,,RUE,DE LA BAUME,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
038701298,00010,03870129800010,O,1995-12-25,,,,2008-01-04T17:56:22,true,2,TORA,36,,AV,PAUL DOUMER,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
038701306,00011,03870130600011,O,1995-12-25,02,2019,,2021-10-27T08:01:00,true,2,RIS REP PAR SARL CER,32,,AV,DE WAGRAM,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
038701322,00018,03870132200018,O,1995-12-25,01,2019,,2021-10-27T08:01:00,true,2,P PAR,114,,BD,SAINT GERMAIN,75006,PARIS 6,,,75106,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
038701330,00011,03870133000011,O,1995-12-25,01,2019,,2021-10-27T08:01:00,true,2,,4,,RUE,QUENTIN BAUCHART,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
038701348,00013,03870134800013,O,1998-10-22,01,2019,,2021-10-27T08:01:00,true,3,,61,,BD,HAUSSMANN,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
