054806542,04816,05480654204816,O,2011-11-28,NN,,,2019-06-24T13:06:30,false,3,PORTE DE L'ARENAS ENTREE C,455,,PRO,DES ANGLAIS,06200,NICE,,,06088,,,,,,,,,,,,,,,,,,,2017-11-17,F,,,,,64.19Z,NAFRev2,O
054806542,04824,05480654204824,O,2012-01-10,03,2019,,2021-10-27T08:03:06,false,1,,69,,BD,EMILE COMBES,13200,ARLES,,,13004,,,,,,,,,,,,,,,,,,,2012-01-10,A,,,,,64.19Z,NAFRev2,O
054806542,04832,05480654204832,O,2011-11-30,03,2019,,2021-10-27T08:03:06,false,1,LA VIGIE BAT 8 BTE 25,90,,RUE,DE LA CITE DES MARINS,83310,COGOLIN,,,83042,,,,,,,,,,,,,,,,,,,2011-11-30,A,,,,,64.19Z,NAFRev2,O
054806542,04840,05480654204840,O,2011-04-01,,,,2019-11-14T14:00:19,false,1,,41,,RUE,MAZARINE,13100,AIX-EN-PROVENCE,,,13001,,,,,,,,,,,,,,,,,,,2011-04-01,A,,,,,64.19Z,NAFRev2,O
054806542,04857,05480654204857,O,2012-05-09,02,2019,,2021-10-27T08:03:06,false,2,,49,,BD,DIDEROT,30133,LES ANGLES,,,30011,,,,,,,,,,,,,,,,,,,2012-12-16,A,,,,,64.19Z,NAFRev2,O
054806542,04865,05480654204865,O,2011-04-01,03,2019,,2021-10-27T08:03:06,false,2,,36,,RUE,CARISTIE,84100,ORANGE,,,84087,,,,,,,,,,,,,,,,,,,2012-12-16,A,,,,,64.19Z,NAFRev2,O
054806542,04873,05480654204873,O,2012-06-28,,,,2012-08-28T14:29:26,false,1,,430,,CHE,DE L AUMONE VIEILLE,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,2012-06-28,F,AGENCE ENTREPRISES,,,,64.19Z,NAFRev2,N
054806542,04881,05480654204881,O,2012-06-11,03,2019,,2021-10-27T08:03:06,false,1,,1,,AV,DU VINGT DEUX AOUT 1944,34500,BEZIERS,,,34032,,,,,,,,,,,,,,,,,,,2012-06-11,A,,,,,64.19Z,NAFRev2,O
054806542,04899,05480654204899,O,2012-06-15,11,2019,,2021-10-27T08:03:06,false,1,,2,,RUE,POURQUERY BOISSERIN,84000,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2012-06-15,A,,,,,64.19Z,NAFRev2,O
054806542,04907,05480654204907,O,2012-02-21,11,2019,,2021-10-27T08:03:06,false,2,IMMEUBLE POLE EUREKA,418,,RUE,DU MAS DE VERCHANT,34000,MONTPELLIER,,,34172,,,,,,,,,,,,,,,,,,,2012-12-16,A,,,,,64.19Z,NAFRev2,O
054806542,04915,05480654204915,O,2012-07-12,03,2019,,2021-10-27T08:03:06,false,1,,,,RUE,CORNEILLE,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,2012-07-12,A,,,,,64.19Z,NAFRev2,O
054806542,04923,05480654204923,O,2012-05-15,02,2019,,2021-10-27T08:03:06,false,2,,148,,AV,GUYNEMER,06700,SAINT-LAURENT-DU-VAR,,,06123,,,,,,,,,,,,,,,,,,,2012-12-16,A,,,,,64.19Z,NAFRev2,O
