303140271,00014,30314027100014,O,1973-01-01,NN,,,,true,1,,,,,BOURG BATTERIE,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,2000-12-31,F,,,,,52.1B,NAF1993,N
303140289,00016,30314028900016,O,,,,,2015-11-30T13:13:21,true,1,,,,,BOURG,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
303140297,00019,30314029700019,O,,,,,,true,1,,,,QUAI,LA PLAINE,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,1986-09-15,F,,,,,62.11,NAP,N
303140305,00028,30314030500028,O,1988-09-27,NN,,,2011-11-29T11:44:27,true,4,,,,,GRANDE ANSE,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,2008-12-31,F,,,,,68.20B,NAFRev2,N
303140313,00014,30314031300014,O,1973-01-01,NN,,,2008-01-04T19:23:24,true,3,,,,QUAI,PETITE ANSE,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,47.11B,NAFRev2,N
303140321,00017,30314032100017,O,,NN,,,,true,1,,,,QUAI,MAPOU,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
303140339,00019,30314033900019,O,,,,,,true,1,,,,QUAI,FONDS FLEURI,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
303140362,00011,30314036200011,O,,,,,,true,1,,,,QUAI,LA BATTERIE,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
303140370,00014,30314037000014,O,,NN,,,,true,1,,,,RUE,SCHOELCHER,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
303140388,00016,30314038800016,O,,,,,,true,1,,,,,BOURG,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
303140396,00019,30314039600019,O,,,,,,true,1,,,,,CITE QUENTIN,97217,ANSES D'ARLET,,,97202,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
