026410035,00013,02641003500013,O,,NN,,,,true,1,,3,,RUE,DE BOE,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1996-09-06,F,,,,,70.2C,NAF1993,N
026410092,00014,02641009200014,O,,NN,,,,true,1,,,,LD,GRANDFONDS,47240,CASTELCULIER,,,47051,,,,,,,,,,,,,,,,,,,1988-10-31,F,,,,,57.03,NAP,N
026410175,00017,02641017500017,O,,,,,,true,1,,,,RUE,JEANNE D ARC,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
026410183,00011,02641018300011,O,,,,,,true,1,,,,RUE,JEANNE D ARC,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
026410233,00014,02641023300014,O,1986-12-31,NN,,,2019-11-14T14:00:39,true,4,,,,,ZI JEAN MALEZE,47240,BON-ENCONTRE,,,47032,,,,,,,,,,,,,,,,,,,2010-12-25,F,,,,,68.20B,NAFRev2,N
026410274,00018,02641027400018,O,,,,,,true,1,,,,RUE,DES DROITS DE L HOMME,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
026410282,00011,02641028200011,O,,NN,,,,true,1,,39,,PL,DU 14 JUILLET,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1991-01-17,F,,,,,87.06,NAP,N
026410290,00014,02641029000014,O,,,,,2019-11-14T14:00:39,true,1,,66,,CITE,AZUR,47240,BON-ENCONTRE,,,47032,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.12,NAP,N
026410324,00011,02641032400011,O,,,,,,true,1,,,,BD,SYLVAIN DUMON,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.09,NAP,N
026410357,00011,02641035700011,O,,NN,,,,true,1,,23,,BD,EDOUARD LACOUR,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,60.2M,NAF1993,N
