045948684,00019,04594868400019,O,,,,,,true,1,,,,RUE,DES MINIMES,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.03,NAP,N
045948759,00019,04594875900019,O,,NN,,,,true,1,,1,,RUE,MAURICE THOREZ,59146,PECQUENCOURT,,,59456,,,,,,,,,,,,,,,,,,,1995-03-31,F,,,,,52.4R,NAF1993,N
045948767,00012,04594876700012,O,,,,,2019-11-14T14:00:47,true,1,,,,RUE,DU MARCHE,59128,FLERS-EN-ESCREBIEUX,,,59234,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.23,NAP,N
045948908,00012,04594890800012,O,,,,,,true,1,,,,RUE,DEFOREST,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
045948916,00015,04594891600015,O,,,,,2019-11-14T14:00:47,true,1,,,,PL,DU GENERAL DE GAULLE,59148,FLINES-LEZ-RACHES,,,59239,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N
045949013,00010,04594901300010,O,,,,,,true,1,,,,AV,GENERAL DE GAULLE,59553,CUINCY,,,59165,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
045949062,00017,04594906200017,O,,,,,,true,1,,73,,RUE,SAINT JACQUES,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1992-06-30,F,,,,,52.4C,NAF1993,N
045949088,00012,04594908800012,O,,,,,,true,1,,14,T,PL,JEAN JAURES,59490,SOMAIN,,,59574,,,,,,,,,,,,,,,,,,,1989-11-02,F,,,,,64.11,NAP,N
045949120,00013,04594912000013,O,,,,,2019-11-14T14:00:47,true,1,,,,RUE,DE PLANQUE,59128,FLERS-EN-ESCREBIEUX,,,59234,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
045949161,00017,04594916100017,O,,,,,,true,1,,146,,RUE,DE LA MAIRIE,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1988-12-31,F,,,,,64.11,NAP,N
045949237,00015,04594923700015,O,,,,,,true,1,,,,RUE,WILSON,59490,SOMAIN,,,59574,,,,,,,,,,,,,,,,,,,1987-06-26,F,,,,,69.12,NAP,N
045949286,00012,04594928600012,O,,,,,,true,1,,37,,RTE,NATIONALE,59194,RACHES,,,59486,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
045949369,00016,04594936900016,O,,,,,,true,1,,,,RUE,GAMBETTA,59490,SOMAIN,,,59574,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
045949377,00019,04594937700019,O,,,,,,true,1,,,,PL,DU MONUMENT,59151,ARLEUX,,,59015,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N
045949393,00016,04594939300016,O,,NN,,,,true,1,,30,,PL,DU GENERAL DE GAULLE,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.30,NAP,N
045949450,00014,04594945000014,O,,,,,,true,1,,,,RUE,JEAN JAURES,59179,FENAIN,,,59227,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,38.40,NAP,N
045949484,00013,04594948400013,O,,,,,,true,1,,,,RUE,JEAN BELLEGAMBE,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.24,NAP,N
045949500,00016,04594950000016,O,,,,,,true,1,,,,PL,DU GENERAL DE GAULLE,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,47.04,NAP,N
045949690,00015,04594969000015,O,,,,,,true,1,,,,RUE,FRANCOIS HERBO,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
045949708,00015,04594970800015,O,,,,,,true,1,,108,,RUE,JOSEPH BOULIEZ,59146,PECQUENCOURT,,,59456,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,62.43,NAP,N
045949781,00012,04594978100012,O,,,,,,true,1,,,,RUE,JEAN JACQUES ROUSSEAU,59187,DECHY,,,59170,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.72,NAP,N
045949849,00017,04594984900017,O,,,,,,true,1,,13,,PL,DE LA RESISTANCE,59870,MARCHIENNES,,,59375,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,87.03,NAP,N
045949898,00014,04594989800014,O,,,,,,true,1,,,,RUE,DE ROUCOURT,59176,MASNY,,,59390,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
045949906,00015,04594990600015,O,1959-01-01,NN,,,2006-10-26T23:35:33,true,3,,11,,RUE,DE L EGLISE,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,2005-12-25,F,,,,,70.2C,NAFRev1,N
045949971,00019,04594997100019,O,,NN,,,,true,1,,107,,BD,FAIDHERBE,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1989-05-01,F,,,,,28.5D,NAF1993,N
045949989,00011,04594998900011,O,1959-01-01,NN,,,2019-11-14T14:00:47,true,4,,164,,RUE,DE VERDUN,59450,SIN-LE-NOBLE,,,59569,,,,,,,,,,,,,,,,,,,2003-03-17,F,,,,,70.2C,NAFRev1,N
045950052,00063,04595005200063,O,,,,,,true,1,,117,,RUE,PIERRE BERIOT,59220,DENAIN,,,59172,,,,,,,,,,,,,,,,,,,1988-02-01,F,,,,,37.1Z,NAF1993,N
045950060,00017,04595006000017,O,,NN,,,,true,1,,207,,RUE,DU FAUBOURG DE BETHUNE,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1988-03-31,F,,,,,60.04,NAP,N
045950078,00019,04595007800019,O,1959-01-01,NN,,,2006-11-25T09:05:19,true,3,,2,,RUE,SUZANNE LANOY,59490,SOMAIN,,,59574,,,,,,,,,,,,,,,,,,,2005-12-25,F,,,,,36.1G,NAFRev1,N
045950102,00017,04595010200017,O,,,,,,true,1,,20,,RUE,DE PARIS,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.10,NAP,N
045950193,00016,04595019300016,O,1959-01-01,NN,,,2018-01-10T04:05:12,true,4,,696,,RUE,FRANCOIS ANICOT,59553,CUINCY,,,59165,,,,,,,,,,,,,,,,,,,2005-04-21,F,,,,,28.3C,NAFRev1,O
045950201,00017,04595020100017,O,,NN,,,,true,1,,11,,AV,DE LA LIBERATION,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,1989-12-25,F,,,,,55.60,NAP,N
045950219,00019,04595021900019,O,,,,,,true,1,,13,,PL,DU DOCTEUR MAUGIN,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,,F,,,,,58.01,NAP,N
045950227,00012,04595022700012,O,,,,,,true,1,,6,,RUE,LANGUETTE,59310,ORCHIES,,,59449,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,54.06,NAP,N
045950284,00013,04595028400013,O,1900-01-01,NN,,,2008-01-04T18:06:19,true,3,,7,,RUE,HENRI BARBUSSE,59580,ANICHE,,,59008,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
045950284,00021,04595028400021,O,1900-01-01,,,,2008-01-04T18:06:19,false,3,,9,,RUE,DU MARECHAL LECLERC,62300,LENS,,,62498,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
045950284,00039,04595028400039,O,1900-01-01,,,,2008-01-04T18:06:19,false,3,,2,,PL,DE LA REPUBLIQUE,59140,DUNKERQUE,,,59183,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
045950318,00019,04595031800019,O,1988-09-12,NN,,,,false,4,,201,,RUE,D ARRAS,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,70.2A,NAF1993,N
045950318,00027,04595031800027,O,1994-11-01,22,2019,,2021-10-27T08:03:02,true,4,CTRE TERTIAIRE L ARSENAL,62,,RUE,SAINT SULPICE,59500,DOUAI,,BP 520,59178,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20A,NAFRev2,O
045970035,00015,04597003500015,O,,NN,,,,true,1,,,,,,64400,GERONCE,,,64241,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,67.07,NAP,N
045970118,00019,04597011800019,O,,NN,,,,true,1,,,,,,64130,GARINDEIN,,,64231,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,38.40,NAP,N
045970126,00012,04597012600012,O,,NN,,,2019-11-14T14:00:52,true,1,,11,,RUE,DE LA CATHEDRALE,64400,OLORON-SAINTE-MARIE,,,64422,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,64.11,NAP,N
045970209,00016,04597020900016,O,,NN,,,,true,1,,,,,,64570,ARETTE,,,64040,,,,,,,,,,,,,,,,,,,1988-12-20,F,,,,,57.02,NAP,N
045970225,00012,04597022500012,O,,,,,,true,1,,31,,RUE,DE BORDEU,64260,IZESTE,,,64280,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,37.1Z,NAF1993,N
045970407,00016,04597040700016,O,,NN,,,2019-11-14T14:00:51,true,1,,,,,Q GOURETTE LA JOIE D OFFRI,64440,EAUX-BONNES,,,64204,,,,,,,,,,,,,,,,,,,1988-06-29,F,,,,,64.49,NAP,N
045970464,00017,04597046400017,O,,NN,,,2019-11-14T14:00:51,true,1,,,,RTE,DE BEDOUS,64660,ASASP-ARROS,,,64064,,,,,,,,,,,,,,,,,,,1988-10-31,F,,,,,67.04,NAP,N
045970506,00015,04597050600015,O,,NN,,,2019-11-14T14:00:52,true,1,,1,,RUE,JELIOTTE,64400,OLORON-SAINTE-MARIE,,,64422,,,,,,,,,,,,,,,,,,,1992-08-01,F,,,,,52.4W,NAF1993,N
045970514,00019,04597051400019,O,,NN,,,2019-11-14T14:00:51,true,1,,,,,,64560,LICQ-ATHEREY,,,64342,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
