304522923,00032,30452292300032,O,,NN,,,,true,1,,3,,RUE,SAINT ANDRE,28000,CHARTRES,,,28085,,,,,,,,,,,,,,,,,,,1987-10-02,F,,,,,77.08,NAP,N
304522949,00011,30452294900011,O,,,,,,true,1,,,,,DIEUSSE,30450,CHAMBON,,,30079,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
304522964,00010,30452296400010,O,,,,,,true,1,,,,RUE,VINCENT FAITA,30000,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,67.09,NAP,N
304522980,00016,30452298000016,O,1975-01-01,NN,,,,true,4,,,,HAM,DE BOUZENE,30140,TORNAC,,,30330,,,,,,,,,,,,,,,,,,,2003-01-31,F,,,,,52.1B,NAFRev1,O
304522998,00018,30452299800018,O,,NN,,,,true,1,,175,,CHE,DU MAS DE SORBIER,30000,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1996-12-11,F,,,,,52.7D,NAF1993,N
304523012,00017,30452301200017,O,,,,,,true,1,,,,CHE,LA GROTTE DES FEES,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.04,NAP,N
304523020,00010,30452302000010,O,,NN,,,,true,1,,2,,BD,JEAN RIVET,31700,BLAGNAC,,,31069,,,,,,,,,,,,,,,,,,,1988-06-16,F,,,,,67.04,NAP,N
304523046,00015,30452304600015,O,,,,,,true,1,,,,PL,QUESTEL,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
304523061,00014,30452306100014,O,,,,,,true,1,,,,RUE,EMILE JAMAIS,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
304523079,00016,30452307900016,O,,,,,,true,1,,3,,RUE,DES HALLES,30000,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1988-11-10,F,,,,,64.25,NAP,N
304523087,00019,30452308700019,O,1975-01-01,NN,,,2019-10-03T13:58:31,true,5,,17,,,CLOITRE NOTRE DAME,28000,CHARTRES,,,28085,,,,,,,,,,,,,,,,,,,2003-12-31,F,,,,,74.1J,NAFRev1,N
304523103,00014,30452310300014,O,,,,,2019-11-14T14:00:30,true,1,,,,,LE MAS BLANC,30110,LAVAL-PRADEL,,,30142,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
304523111,00017,30452311100017,O,1900-01-01,NN,,,2015-12-15T08:22:02,false,2,,,,RUE,DE L HORLOGE,30980,LANGLADE,,,30138,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
304523111,00025,30452311100025,O,2013-11-27,,,,2021-02-23T10:36:49,true,1,,71,,RUE,DU 14 JUILLET,30210,CABRIERES,,,30057,,,,,,,,,,,,,,,,,,,2013-11-27,A,,,,,68.20B,NAFRev2,N
304523129,00019,30452312900019,O,,NN,,,2019-11-14T14:00:29,true,1,,34,,RUE,DE L'AVRE,28350,SAINT-LUBIN-DES-JONCHERETS,,,28348,,,,,,,,,,,,,,,,,,,,F,,,,,51.11,NAP,N
304523137,00038,30452313700038,O,1982-06-01,NN,,,2016-08-08T09:10:37,false,5,,,,,FRETE,28160,BROU,,,28061,,,,,,,,,,,,,,,,,,,2008-11-30,F,,,,,43.99C,NAFRev2,O
304523137,00046,30452313700046,O,2016-07-19,,,,2016-08-08T09:10:37,true,1,RESIDENCE LES SENIORIALES,,,BD,NATOIRE,30000,NIMES,,,30189,,,,,,,,,,,,,,,,,,,2016-07-19,A,,,,,68.20A,NAFRev2,N
304523152,00037,30452315200037,O,1900-01-01,NN,,,2019-11-14T14:00:29,false,4,,131,,RUE,SAINT HILAIRE,28400,NOGENT-LE-ROTROU,,,28280,,,,,,,,,,,,,,,,,,,1996-03-30,F,,,,,52.4C,NAF1993,N
304523152,00052,30452315200052,O,2005-07-01,,,,2019-11-14T14:00:29,true,2,,5,,PL,DU GENERAL DE SAINT POL,28400,NOGENT-LE-ROTROU,,,28280,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
304523160,00022,30452316000022,O,1900-01-01,NN,,,2008-11-07T00:20:10,false,3,,,,QUAI,ST HIPPOLYTE,31390,MARQUEFAVE,,,31320,,,,,,,,,,,,,,,,,,,2007-06-30,F,,,,,45.3A,NAFRev1,N
304523160,00030,30452316000030,O,1992-01-05,NN,,,2008-01-04T19:30:51,true,3,,65,,RES,LA PINEDE,11430,GRUISSAN,,,11170,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20A,NAFRev2,N
