217402254,00197,21740225400197,O,1999-11-01,NN,,,2018-08-31T14:18:29,false,4,MAIRIE,1,,PL,DE L HOTEL DE VILLE,74150,RUMILLY,,,74225,,,,,,,,,,,,,,,,,,,2017-12-31,F,LOCATION LOCAUX INDUSTRIELS,,,,68.20B,NAFRev2,N
217402254,00205,21740225400205,O,2001-05-01,NN,,,2017-11-22T14:52:14,false,4,MAIRIE,,,PL,DE L HOTEL DE VILLE,74150,RUMILLY,,,74225,,,,,,,,,,,,,,,,,,,2016-12-31,F,ZONE ARTISANALE,,,,42.99Z,NAFRev2,N
217402254,00213,21740225400213,O,2011-09-01,11,2019,,2021-10-27T08:10:23,false,1,,20,,RUE,DE VERDUN,74150,RUMILLY,,,74225,,,,,,,,,,,,,,,,,,,2011-09-01,A,ECOLE PRIMAIRE JOSEPH BEARD,,,,85.20Z,NAFRev2,N
217402262,00018,21740226200018,O,1983-03-01,11,2019,,2021-10-27T08:10:23,true,4,HOTEL DE VILLE,,,,,74420,SAINT-ANDRE-DE-BOEGE,,,74226,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
217402262,00026,21740226200026,O,1983-12-21,02,2019,,2021-10-27T08:10:23,false,3,,,,,CHEF LIEU,74420,SAINT-ANDRE-DE-BOEGE,,,74226,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
217402262,00034,21740226200034,O,1983-12-21,NN,,,2019-11-14T14:00:57,false,4,,,,,LA CORBIERE,74420,SAINT-ANDRE-DE-BOEGE,,,74226,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
217402262,00042,21740226200042,O,1997-01-01,NN,,,2019-11-14T14:00:57,false,4,MAIRIE,,,,,74420,SAINT-ANDRE-DE-BOEGE,,,74226,,,,,,,,,,,,,,,,,,,2017-12-31,F,SERVICE EAU ET ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
217402262,00059,21740226200059,O,1998-01-01,NN,,,2019-11-14T14:00:57,false,3,MAIRIE,,,,,74420,SAINT-ANDRE-DE-BOEGE,,,74226,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE POMPES FUNEBRES ST ANDRE BOEGE,,,,96.03Z,NAFRev2,N
217402270,00011,21740227000011,O,1994-01-01,NN,,,,true,4,MAIRIE,,,,,74470,BELLEVAUX,,,74032,,,,,,,,,,,,,,,,,,,2001-12-25,F,,,,,75.1A,NAF1993,N
217402288,00013,21740228800013,O,1983-03-01,02,2019,,2021-10-27T08:10:23,true,4,HOTEL DE VILLE,,,,,74350,SAINT-BLAISE,,,74228,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
