039132006,00014,03913200600014,O,1995-12-25,NN,,,2009-06-27T03:09:29,true,3,PARIS REP PAR SA EDO,15,,BD,GOUVION ST CYR,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039132063,00015,03913206300015,O,1995-12-25,01,2019,,2021-10-27T08:02:05,true,2,,53,,RUE,GANNERON,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039132089,00010,03913208900010,O,1995-12-25,NN,,,2008-01-04T18:00:17,true,3,P PAR MR MALIN DIDIE,53,,RUE,GANNERON,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039132097,00013,03913209700013,O,1995-12-25,01,2019,,2021-10-27T08:02:05,true,2,,5,,RUE,ANDRE GILL,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039132105,00014,03913210500014,O,1995-12-25,NN,,,2010-04-18T03:03:06,true,3,,13,,RUE,PAUL ALBERT,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2008-04-30,A,,,,,81.10Z,NAFRev2,N
039132113,00018,03913211300018,O,1995-12-25,NN,,,2013-05-18T02:03:40,true,3,,54,,RUE,DES TROIS FRERES,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2011-03-31,A,,,,,81.10Z,NAFRev2,N
039132121,00011,03913212100011,O,1995-12-25,01,2019,,2021-10-27T08:02:05,true,2,,125,,RUE,MICHEL ANGE,75016,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039132147,00016,03913214700016,O,1995-12-25,NN,,,2008-04-26T08:07:41,true,3,P PAR MR BAILLY ALAI,138,,BD,EXELMANS,75016,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039132154,00012,03913215400012,O,1995-12-25,01,2018,,2020-08-25T10:11:38,true,2,RIS REP PAR,4,,BD,PASTEUR,75015,PARIS 15,,,75115,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039132162,00015,03913216200015,O,1995-12-25,01,2019,,2021-10-27T08:02:05,true,2,,5,,RUE,MONTE CRISTO,75020,PARIS 20,,,75120,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039132188,00010,03913218800010,O,,,,,,true,1,,47,,RUE,DES MATHURINS,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,1997-12-25,F,,,,,70.3C,NAF1993,N
039132196,00013,03913219600013,O,1995-12-25,NN,,,2011-04-23T04:03:36,true,2,,5,,RUE,BELLOT,75019,PARIS 19,,,75119,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
