300183779,00010,30018377900010,O,,,,,,true,1,,,,,,57220,BROUCK,,,57112,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
300183787,00013,30018378700013,O,,,,,,true,1,,82,,RUE,DU MOULIN,54580,MOINEVILLE,,,54371,,,,,,,,,,,,,,,,,,,1996-12-31,F,,,,,52.2C,NAF1993,N
300183811,00011,30018381100011,O,1964-01-01,NN,,,,true,1,,,,PL,DE L EGLISE,46160,CAJARC,,,46045,,,,,,,,,,,,,,,,,,,2000-12-31,F,,,,,93.0D,NAF1993,O
300183852,00015,30018385200015,O,,NN,,,2019-11-14T14:00:44,true,1,,,,RTE,DE BULLIGNY,54113,BLENOD-LES-TOUL,,,54080,,,,,,,,,,,,,,,,,,,1995-11-05,F,,,,,70.2C,NAF1993,N
300183860,00018,30018386000018,O,,NN,,,,true,1,,4,,PL,DU DOCTEUR SCHWEITZER,57930,FENETRANGE,,,57210,,,,,,,,,,,,,,,,,,,1994-01-01,F,,,,,55.3A,NAF1993,N
300183878,00010,30018387800010,O,1972-01-01,NN,,,,true,1,,,,,,46500,ALVIGNAC,,,46003,,,,,,,,,,,,,,,,,,,2002-03-31,F,,,,,45.3F,NAF1993,N
300183902,00018,30018390200018,O,,,,,,true,1,,1,,AV,DU 8 MAI,54540,BADONVILLER,,,54040,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,02.20,NAP,N
300183928,00021,30018392800021,O,,NN,,,,true,1,,9,,RUE,NATIONALE,53500,ERNEE,,,53096,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.49,NAP,N
300183936,00016,30018393600016,O,1971-01-01,NN,,,2009-09-23T20:05:42,true,4,,127,,RUE,DE FRANCHEPRE,54240,JOEUF,,,54280,,,,,,,,,,,,,,,,,,,2009-09-30,F,,,,,56.30Z,NAFRev2,N
300183977,00010,30018397700010,O,,,,,2019-11-14T14:00:46,true,1,,62,T,RUE,DU GENERAL PATTON,57330,HETTANGE-GRANDE,,,57323,,,,,,,,,,,,,,,,,,,1997-07-01,F,,,,,85.1C,NAF1993,N
300183993,00017,30018399300017,O,,NN,,,2019-11-14T14:00:46,true,1,,44,,RUE,DU 12 SEPTEMBRE 1944,57330,HETTANGE-GRANDE,,,57323,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,55.40,NAP,N
300184009,00011,30018400900011,O,,,,,,true,1,,7,,RUE,DU MARECHAL FOCH,57220,HOLLING,,,57329,,,,,,,,,,,,,,,,,,,1996-09-23,F,,,,,01.1C,NAF1993,N
300184017,00022,30018401700022,O,,,,,,true,1,,,,RUE,PIERRE KLEIN,57690,BAMBIDERSTROFF,,,57047,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,77.09,NAP,N
300184025,00017,30018402500017,O,,,,,2019-11-14T14:00:46,true,1,,,,RUE,NATIONALE,57470,HOMBOURG-HAUT,,,57332,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,86.06,NAP,N
300184041,00014,30018404100014,O,1974-01-01,NN,,,2014-06-13T23:49:57,true,5,,3,,RUE,DE L EGLISE,57490,L'HOPITAL,,BP 27,57336,,,,,,,,,,,,,,,,,,,2012-09-30,F,,,,,47.73Z,NAFRev2,O
300184066,00011,30018406600011,O,1976-01-01,NN,,,2007-05-19T08:28:28,true,5,,16,,RUE,MARECHAL FOCH,57490,L'HOPITAL,,,57336,,,,,,,,,,,,,,,,,,,2006-08-01,F,,,,,70.2C,NAFRev1,N
300184074,00031,30018407400031,O,,NN,,,,true,1,,40,,RUE,DU PALAIS GALLIEN,33000,BORDEAUX,,,33063,,,,,,,,,,,,,,,,,,,,F,,,,,87.01,NAP,N
300184108,00011,30018410800011,O,,NN,,,2019-11-14T14:00:43,true,1,,9,,RUE,DU FAUBOURG ST PHLIN,54510,ART-SUR-MEURTHE,,,54025,,,,,,,,,,,,,,,,,,,1989-06-30,F,,,,,55.71,NAP,N
300184116,00022,30018411600022,O,1990-01-01,NN,,,2019-11-14T14:00:39,true,1,,266,,CHE,DE LA MOLE,46400,SAINT-CERE,,,46251,,,,,,,,,,,,,,,,,,,1999-12-31,F,,,,,02.0B,NAF1993,N
300184124,00018,30018412400018,O,,NN,,,2019-11-14T14:00:44,true,1,,115,,AV,FOCH,54270,ESSEY-LES-NANCY,,,54184,,,,,,,,,,,,,,,,,,,,F,,,,,67.01,NAP,N
300184132,00011,30018413200011,O,1900-01-01,NN,,,2019-11-14T14:00:46,true,3,,9,,RUE,DES MARGUERITES,57410,PETIT-REDERCHING,,,57535,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,66.22Z,NAFRev2,N
300184140,00014,30018414000014,O,,NN,,,2019-11-14T14:00:44,true,1,,5,,RUE,DES IRIS,54800,CONFLANS-EN-JARNISY,,,54136,,,,,,,,,,,,,,,,,,,1991-09-30,F,,,,,66.04,NAP,N
300184157,00026,30018415700026,O,,,,,,true,1,,18,,RUE,EDOUARD DREUX,54400,LONGWY,,,54323,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,78.02,NAP,N
300184173,00015,30018417300015,O,,NN,,,,true,1,,39,,RUE,STANISLAS,54400,LONGWY,,,54323,,,,,,,,,,,,,,,,,,,1997-12-31,F,,,,,60.2E,NAF1993,O
300184181,00026,30018418100026,O,,NN,,,2019-11-14T14:00:46,true,1,,10,,,GRAND'RUE,57140,NORROY-LE-VENEUR,,,57511,,,,,,,,,,,,,,,,,,,1995-03-31,F,,,,,52.1B,NAF1993,N
