039273586,00014,03927358600014,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,8,,,COUR DES PETITES ECURIES,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273594,00018,03927359400018,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,61,,RUE,DU FAUBOURG SAINT MARTIN,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273602,00019,03927360200019,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,REP PAR SA CONSORTI,4,,AV,DE FRIEDLAND,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273610,00012,03927361000012,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,71,,BD,DE CLICHY,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273628,00014,03927362800014,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,16,,RUE,CONDORCET,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273636,00017,03927363600017,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,14,,RUE,SAINT LAZARE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273651,00016,03927365100016,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,RIS REP PAR,34,,RUE,GODOT DE MAUROY,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273669,00018,03927366900018,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,78,,BD,MALESHERBES,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273677,00011,03927367700011,O,1995-12-25,NN,,,2008-01-04T18:01:56,true,2,RIS REP PAR SA CABIN,7,,RUE,LEON JOST,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039273685,00014,03927368500014,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,1,,RUE,DU GENERAL FOY,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039273693,00018,03927369300018,O,1995-12-25,01,2019,,2021-10-27T08:02:28,true,2,,55,,QUAI,D ORSAY,75007,PARIS 7,,,75107,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
