302019294,00032,30201929400032,O,1990-09-04,NN,,9602BA,2016-04-26T01:40:26,true,5,,4,,RUE,DE L EGLISE,92160,ANTONY,,,92002,,,,,,,,,,,,,,,,,,,2014-12-31,F,,,,,96.02B,NAFRev2,O
302019294,00040,30201929400040,O,1991-01-01,NN,,,2014-07-08T00:11:30,false,5,,33,,RUE,JULIEN PERIN,92160,ANTONY,,,92002,,,,,,,,,,,,,,,,,,,2012-12-31,F,LE GRAND DECOR,,,,43.39Z,NAFRev2,O
302019302,00017,30201930200017,O,1900-01-01,NN,,,2008-01-04T19:18:01,true,3,,31,,AV,DE PARIS,91210,DRAVEIL,,,91201,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
302019310,00010,30201931000010,O,,,,,,true,1,,,,RUE,POMMIER,84000,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.73,NAP,N
302019328,00012,30201932800012,O,,,,,2019-11-14T14:01:03,true,1,,,,,,86210,VOUNEUIL-SUR-VIENNE,,,86298,,,,,,,,,,,,,,,,,,,1992-08-24,F,,,,,26.7Z,NAF1993,N
302019344,00019,30201934400019,O,,,,,2019-11-14T14:01:02,true,1,,,,RUE,DE L HORLOGE,84190,BEAUMES-DE-VENISE,,,84012,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
302019385,00046,30201938500046,O,1993-05-01,NN,,,,true,1,,,,RTE,NATIONALE 100,84400,APT,,,84003,,,,,,,,,,,,,,,,,,,1999-11-19,F,,,,,70.2C,NAF1993,N
302019401,00033,30201940100033,O,,NN,,,2019-11-14T14:01:02,true,1,,,,RUE,DES ECOLES,83570,MONTFORT-SUR-ARGENS,,,83083,,,,,,,,,,,,,,,,,,,,F,,,,,54.05,NAP,N
302019419,00027,30201941900027,O,1993-01-11,NN,,,2019-11-14T14:01:02,true,1,,71,,,DES DEUX PINS,84450,SAINT-SATURNIN-LES-AVIGNON,,,84119,,,,,,,,,,,,,,,,,,,2001-09-01,F,,,,,92.6C,NAF1993,N
302019427,00012,30201942700012,O,1965-01-01,,,,2019-02-20T03:39:26,true,1,,,,,,84360,LAURIS,,,84065,,,,,,,,,,,,,,,,,,,1997-07-11,F,,,,,15.8D,NAF1993,N
302019450,00014,30201945000014,O,1900-01-01,NN,,,2010-12-28T13:56:32,true,4,SDFI MAIRIE,88,,RUE,DU 8 MAI 1945,92000,NANTERRE,,,92050,,,,,,,,,,,,,,,,,,,2009-12-25,F,,,,,47.89Z,NAFRev2,N
