303262141,00011,30326214100011,O,,,,,,true,1,,10,,PL,DES RECOLLETS,82200,MOISSAC,,,82112,,,,,,,,,,,,,,,,,,,1986-12-25,F,,,,,87.03,NAP,N
303262166,00018,30326216600018,O,1974-01-01,,,,,true,1,,1,,RUE,B SEGALAS TALOU,82000,MONTAUBAN,,,82121,,,,,,,,,,,,,,,,,,,1998-08-07,F,,,,,50.2Z,NAF1993,N
303262190,00018,30326219000018,O,,,,,,true,1,,112,,AV,ARISTIDE BRIAND,92220,BAGNEUX,,,92007,,,,,,,,,,,,,,,,,,,1992-03-18,F,,,,,55.3A,NAF1993,N
303262240,00037,30326224000037,O,1990-12-24,NN,,,,true,1,,18,,RUE,FLEURIAU,17000,LA ROCHELLE,,,17300,,,,,,,,,,,,,,,,,,,2000-03-31,F,,,,,85.1C,NAF1993,O
303262265,00018,30326226500018,O,,NN,,,,true,1,,13,,RUE,GUEROT,76500,ELBEUF,,,76231,,,,,,,,,,,,,,,,,,,1994-12-31,F,,,,,67.2Z,NAF1993,N
303262307,00018,30326230700018,O,1974-01-01,NN,,,,true,1,,,,,MONTURES,82290,BARRY D'ISLEMADE,,,82011,,,,,,,,,,,,,,,,,,,2001-03-31,F,,,,,45.4C,NAF1993,N
303262323,00015,30326232300015,O,,NN,,,2019-11-14T14:01:02,true,1,,32,,RUE,DU 11 NOVEMBRE,85230,BEAUVOIR-SUR-MER,,,85018,,,,,,,,,,,,,,,,,,,1994-12-31,F,,,,,35.1C,NAF1993,O
303262372,00012,30326237200012,O,,NN,,,2019-11-14T14:01:05,true,1,,11,,ALL,DUGAY TROUIN,93600,AULNAY-SOUS-BOIS,,,93005,,,,,,,,,,,,,,,,,,,,F,,,,,67.01,NAP,N
303262380,00031,30326238000031,O,,NN,,,,true,1,,34,,RUE,GERARD DE NERVAL,77280,OTHIS,,,77349,,,,,,,,,,,,,,,,,,,1996-03-31,F,,,,,52.4C,NAF1993,N
303262422,00031,30326242200031,O,,,,,,true,1,,121,,BD,EDOUARD VAILLANT,93300,AUBERVILLIERS,,,93001,,,,,,,,,,,,,,,,,,,1993-04-30,F,,,,,52.1B,NAF1993,N
303262430,00018,30326243000018,O,,,,,2019-11-14T14:01:05,true,1,,,,AV,SURCOUF,93150,LE BLANC-MESNIL,,,93007,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
