302372347,00013,30237234700013,O,1975-01-01,NN,,,2017-05-30T04:36:28,true,5,,3,,RUE,BOINOD,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2016-11-07,F,,,,,47.29Z,NAFRev2,N
302372354,00019,30237235400019,O,,,,,,true,1,,,,AV,DE ROSNY,93250,VILLEMOMBLE,,,93077,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
302372370,00015,30237237000015,O,,NN,,,2019-11-14T14:01:05,true,1,,22,,AV,DE LA CONVENTION,93190,LIVRY-GARGAN,,,93046,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,64.11,NAP,N
302372388,00017,30237238800017,O,1900-01-01,NN,,,2019-11-14T14:01:05,true,4,,10,,RUE,DANTON,93310,LE PRE-SAINT-GERVAIS,,,93061,,,,,,,,,,,,,,,,,,,1997-12-31,F,,,,,74.1J,NAF1993,N
302372388,00025,30237238800025,O,1992-02-01,NN,,,2019-11-14T14:01:05,false,4,,10,,RUE,COLETTE AUDRY,93310,LE PRE-SAINT-GERVAIS,,,93061,,,,,,,,,,,,,,,,,,,1999-07-01,F,,,,,67.2Z,NAF1993,O
302372404,00046,30237240400046,O,1997-01-01,NN,,,2012-07-28T09:03:30,true,4,,,,,LE VILLAGE,95500,GONESSE,,,95277,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,01.13Z,NAFRev2,N
302372412,00015,30237241200015,O,,NN,,,2019-01-08T10:19:43,true,1,,8,,MAR,JULES VALLES,93400,SAINT-OUEN-SUR-SEINE,,,93070,,,,,,,,,,,,,,,,,,,,F,,,,,64.25,NAP,N
302372420,00018,30237242000018,O,,NN,,,,true,1,,27,,RUE,ROUSSELLE,92800,PUTEAUX,,,92062,,,,,,,,,,,,,,,,,,,1992-10-13,F,,,,,22.1G,NAF1993,N
302372438,00010,30237243800010,O,,NN,,,,true,1,,70,,RUE,HENRI BARBUSSE,92000,NANTERRE,,,92050,,,,,,,,,,,,,,,,,,,,F,,,,,78.02,NAP,N
302372511,00022,30237251100022,O,1986-03-04,NN,,4932ZA,2019-11-14T14:01:05,false,3,,4,,RUE,CARNOT,92300,LEVALLOIS-PERRET,,,92044,,,,,,,,,,,,,,,,,,,1996-06-01,F,,,,,60.2E,NAF1993,N
302372511,00030,30237251100030,O,1996-06-01,NN,,4932ZA,2019-11-14T14:01:05,true,3,,1,,PL,VERDUN,92300,LEVALLOIS-PERRET,,,92044,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,49.32Z,NAFRev2,N
302372529,00016,30237252900016,O,,,,,,true,1,,,,RUE,DES ECOLES,93300,AUBERVILLIERS,,,93001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
302372537,00027,30237253700027,O,1984-04-01,NN,,,,true,1,,25,,PL,DE LA REPUBLIQUE,41100,VENDOME,,,41269,,,,,,,,,,,,,,,,,,,2002-05-31,F,,,,,52.4R,NAF1993,O
302372545,00012,30237254500012,O,,NN,,,,true,1,,74,,RUE,DE LA REPUBLIQUE,93230,ROMAINVILLE,,,93063,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
302372602,00029,30237260200029,O,,NN,,,2019-11-14T14:01:05,true,1,,6,,RUE,MARJOLIN,92300,LEVALLOIS-PERRET,,,92044,,,,,,,,,,,,,,,,,,,1990-02-13,F,,,,,55.60,NAP,N
302372669,00010,30237266900010,O,,NN,,,2019-11-14T14:01:05,true,1,,25,,ALL,MONTHYON,93320,LES PAVILLONS-SOUS-BOIS,,,93057,,,,,,,,,,,,,,,,,,,2002-12-31,F,,,,,52.6D,NAF1993,O
