042295170,00015,04229517000015,O,1995-12-25,NN,,,2008-01-04T18:04:48,true,3,,,,,LES PETTOREAUX,74120,MEGEVE,,,74173,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042295584,00017,04229558400017,O,1984-05-01,01,2019,,2021-10-27T08:02:52,true,3,,,,RTE,DES MORETS,74170,SAINT-GERVAIS-LES-BAINS,,,74236,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
042295709,00010,04229570900010,O,1980-01-01,NN,,,2008-01-04T18:04:48,true,3,,1945,,RTE,EDMOND DE ROTHSCHILD,74120,MEGEVE,,,74173,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042295857,00017,04229585700017,O,1995-12-25,NN,,,2008-01-04T18:04:48,true,2,,5,,RUE,PERRIERE,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042296152,00012,04229615200012,O,1995-12-25,NN,,,2019-11-14T14:00:56,true,2,ARROZ CHALET VACANCE,,,,,74300,ARACHES-LA-FRASSE,,,74014,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042296376,00017,04229637600017,O,1984-06-01,NN,,,2019-11-14T14:00:57,true,4,,,,,,74170,LES CONTAMINES-MONTJOIE,,,74085,,,,,,,,,,,,,,,,,,,2009-12-31,A,,,,,81.10Z,NAFRev2,N
042296392,00014,04229639200014,O,1984-06-01,01,2019,,2021-10-27T08:02:52,true,5,,,,,,74170,LES CONTAMINES-MONTJOIE,,,74085,,,,,,,,,,,,,,,,,,,2013-04-01,A,,,,,81.10Z,NAFRev2,O
042296525,00019,04229652500019,O,1984-05-01,,,,2019-11-14T14:00:57,true,4,,,,CHE,DES CHAVANNES,74500,EVIAN-LES-BAINS,,,74119,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
042296814,00017,04229681400017,O,1995-12-25,NN,,,2017-05-04T01:04:52,true,4,,,,AV,GEORGES CLEMENCEAU,74300,CLUSES,,,74081,,,,,,,,,,,,,,,,,,,2016-07-08,A,,,,,81.10Z,NAFRev2,N
042297283,00014,04229728300014,O,1995-12-25,NN,,,2008-01-04T18:04:48,true,3,ET B,63,A,AV,DE GENEVE,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042297366,00017,04229736600017,O,1995-12-25,01,2019,,2021-10-27T08:02:52,true,3,,24,T,RUE,DE LA PAIX,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
042297374,00011,04229737400011,O,1995-12-25,NN,,,2008-01-04T18:04:48,true,3,,4,,AV,DE BROGNY,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
042297408,00017,04229740800017,O,1995-12-25,NN,,,2017-01-11T15:22:45,true,2,,1,,RUE,DES COLS VERTS,74940,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042297416,00010,04229741600010,O,1995-12-25,NN,,,2017-01-03T09:09:24,true,3,,1,,RUE,DES FRETES,74940,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-12-31,A,,,,,81.10Z,NAFRev2,N
042297424,00014,04229742400014,O,1985-01-01,NN,,,2017-01-03T10:11:03,true,3,,32,,RUE,DES POMMARIES,74940,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042297515,00019,04229751500019,O,1995-12-25,NN,,,2008-01-04T18:04:48,true,3,17,15,,BD,DU FIER,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042297598,00015,04229759800015,O,1995-12-25,,,,2008-01-04T18:04:48,true,2,,8,,RUE,JOSEPH DESSAIX,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
042297614,00010,04229761400010,O,1995-12-31,00,2018,,2020-08-25T10:12:21,true,4,,7,,RUE,DES ALOUETTES,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2018-11-30,A,,,,,81.10Z,NAFRev2,N
042297663,00017,04229766300017,O,1995-12-25,01,2019,,2021-10-27T08:02:52,true,2,,,,CHE,DE BACHEX,74200,THONON-LES-BAINS,,,74281,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
042297705,00016,04229770500016,O,1995-12-25,NN,,,2019-11-14T14:00:57,true,2,,,,AV,DES ALLINGES,74200,THONON-LES-BAINS,,,74281,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
