035212810,00010,03521281000010,O,1995-12-25,NN,,,2015-05-14T03:03:34,true,3,MME BOURBON,4,,BD,LAZARE CARNOT,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2013-03-15,A,,,,,81.10Z,NAFRev2,N
035212828,00012,03521282800012,O,1997-01-01,NN,,,2008-01-04T17:55:55,true,3,,11,,RUE,DE METZ,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
035212844,00019,03521284400019,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,4,,77,,ALL,DE BRIENNE,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2012-10-11,A,,,,,81.10Z,NAFRev2,O
035212851,00014,03521285100014,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,67,,ALL,JEAN JAURES,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035212869,00016,03521286900016,O,1995-12-25,NN,,,2020-07-07T04:00:21,true,4,,,,RES,LES FLORALIES,31520,RAMONVILLE-SAINT-AGNE,,,31446,,,,,,,,,,,,,,,,,,,2020-07-01,A,,,,,81.10Z,NAFRev2,O
035212893,00016,03521289300016,O,1995-12-25,NN,,,2010-04-18T03:01:14,true,3,,5,,RUE,J F KENNEDY,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-04-30,A,,,,,81.10Z,NAFRev2,N
035212919,00019,03521291900019,O,1995-12-25,,,,2006-06-16T10:38:39,true,2,,47,,CHE,DE PELLEPORT,31500,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2002-12-31,F,,,,,70.3C,NAF1993,N
035212927,00012,03521292700012,O,1995-12-25,NN,,,2008-01-04T17:55:55,true,2,,,,RUE,DU PONT GUILHEMERY,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
035212935,00015,03521293500015,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,76,,BD,DE STRASBOURG,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035212950,00014,03521295000014,O,1995-12-25,,,,2008-01-04T17:55:55,true,2,,140,,AV,DE SAINT EXUPERY,31400,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
035212968,00016,03521296800016,O,1995-12-25,NN,,,2008-04-26T08:05:15,true,2,,58,,AV,DE LA GLOIRE,31500,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035212992,00016,03521299200016,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,17,,ALL,FREDERIC MISTRAL,31400,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213032,00010,03521303200010,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,27,B,RUE,MARTYRS DE LIBERATION,31400,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213065,00010,03521306500010,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,3,RAMIER DU BAZACLE,1,,AV,DE L ANCIEN VELODROME,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213099,00019,03521309900019,O,1995-12-25,00,2019,,2021-10-27T08:00:53,true,3,,23,,RUE,PAUL BONAMY,31500,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213107,00010,03521310700010,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,20,,AV,HONORE SERRES,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213123,00017,03521312300017,O,1995-12-25,NN,,,2013-07-03T08:30:06,true,5,,44,,ALL,CHARLES DE FITTE,31300,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2011-01-31,A,,,,,81.10Z,NAFRev2,N
035213149,00012,03521314900012,O,1995-12-25,NN,,,2018-09-29T12:00:35,true,7,,3,,RUE,FEDERICO GARCIA LORCA,31520,RAMONVILLE-SAINT-AGNE,,,31446,,,,,,,,,,,,,,,,,,,2016-12-31,A,,,,,81.10Z,NAFRev2,N
035213156,00017,03521315600017,O,1995-12-25,NN,,,2019-06-24T13:04:41,true,3,,9,,RUE,FEDERICO GARCIA LORCA,31520,RAMONVILLE-SAINT-AGNE,,,31446,,,,,,,,,,,,,,,,,,,2018-07-31,A,,,,,81.10Z,NAFRev2,N
035213172,00014,03521317200014,O,1995-12-25,,,,2019-11-14T14:00:30,true,2,,81,,ALL,D ETIGNY,31110,BAGNERES-DE-LUCHON,,,31042,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
035213198,00019,03521319800019,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,,,IMP,DES BOSQUETS,31100,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
035213214,00014,03521321400014,O,1995-12-25,NN,,,2019-11-14T14:00:31,true,4,,,,,LA SARNAILLE,31320,VIGOULET-AUZIL,,,31578,,,,,,,,,,,,,,,,,,,2011-09-30,A,,,,,81.10Z,NAFRev2,N
035213248,00012,03521324800012,O,1995-12-25,,,,2008-01-04T17:55:55,true,2,,4,,RUE,DE LA MADELEINE,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
035213263,00011,03521326300011,O,1995-12-25,01,2019,,2021-10-27T08:00:53,true,2,,39,,ALL,DE BRIENNE,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
