076810548,00016,07681054800016,O,,NN,,,,true,1,,,,,,73270,BEAUFORT,,,73034,,,,,,,,,,,,,,,,,,,,F,,,,,64.30,NAP,N
076810555,00011,07681055500011,O,,NN,,,,true,1,,,,,,73320,TIGNES,,,73296,,,,,,,,,,,,,,,,,,,,F,,,,,38.50,NAP,N
076810563,00015,07681056300015,O,,,,,2019-01-14T13:50:05,true,1,,,,,LES GENTIANES,73260,GRAND-AIGUEBLANCHE,,,73003,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,55.71,NAP,N
076810613,00018,07681061300018,O,1900-01-01,NN,,,2007-11-12T10:48:54,true,3,,,,,,73530,SAINT JEAN D'ARVES,,,73242,,,,,,,,,,,,,,,,,,,2006-11-02,F,,,,,70.2C,NAFRev1,N
076810613,00026,07681061300026,O,1986-01-01,NN,,,2019-11-14T14:00:56,false,4,,80,,RUE,SAINT ANTOINE,73300,SAINT-JEAN-DE-MAURIENNE,,,73248,,,,,,,,,,,,,,,,,,,1995-03-31,F,,,,,15.8P,NAF1993,N
076810621,00029,07681062100029,O,1989-11-15,NN,,,2008-01-04T18:10:29,true,3,,,,,,73300,VILLAREMBERT,,,73318,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,85.51Z,NAFRev2,N
076810639,00013,07681063900013,O,1900-01-01,NN,,,2019-11-14T14:00:56,true,6,,396,,RUE,PIERRE LEON GROS,73300,SAINT-JEAN-DE-MAURIENNE,,,73248,,,,,,,,,,,,,,,,,,,2009-11-30,F,,,,,68.20B,NAFRev2,N
076810639,00021,07681063900021,O,2002-04-01,NN,,,2019-11-14T14:00:56,false,5,,430,,RUE,JEAN MOULIN,73300,SAINT-JEAN-DE-MAURIENNE,,,73248,,,,,,,,,,,,,,,,,,,2009-11-30,F,,,,,68.20B,NAFRev2,N
076810647,00016,07681064700016,O,,,,,2019-11-14T14:00:56,true,1,,,,,LA TOUSSUIRE,73300,FONTCOUVERTE-LA-TOUSSUIRE,,,73116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
076810654,00012,07681065400012,O,,NN,,,2019-11-14T14:00:56,true,1,,,,,,73130,SAINT-ETIENNE-DE-CUINES,,,73231,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,55.71,NAP,N
