036840593,00010,03684059300010,O,,NN,,,,true,1,,,,,,39120,CHEMIN,,,39138,,,,,,,,,,,,,,,,,,,1991-01-31,F,,,,,22.02,NAP,N
036840619,00013,03684061900013,O,,,,,,true,1,,,,AV,ARISTIDE BRIAND,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
036840643,00013,03684064300013,O,1965-01-01,NN,,,,true,1,,4,,RUE,HOTEL DE VILLE,39120,CHAUSSIN,,,39128,,,,,,,,,,,,,,,,,,,2001-12-31,F,,,,,93.0D,NAF1993,O
036840676,00013,03684067600013,O,,,,,,true,1,,,,,,39500,TAVAUX,,,39526,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
036840684,00017,03684068400017,O,,NN,,,,true,1,,,,,,39100,GEVRY,,,39252,,,,,,,,,,,,,,,,,,,1987-04-18,F,,,,,55.4B,NAF1993,N
036840718,00013,03684071800013,O,,NN,,,,true,1,,,,,,39100,PARCEY,,,39405,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,67.01,NAP,N
036840726,00016,03684072600016,O,,,,,,true,1,,,,RUE,DE PLUMONT,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,67.01,NAP,N
036840759,00017,03684075900017,O,,NN,,,,true,1,,8,,RTE,DE DOLE,39500,DAMPARIS,,,39189,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,67.01,NAP,N
036840809,00010,03684080900010,O,,,,,,true,1,,,,,,39350,PAGNEY,,,39402,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,01.80,NAP,N
036840833,00010,03684083300010,O,,NN,,,,true,1,,32,,RUE,D AZANS,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1991-09-30,F,,,,,66.02,NAP,N
036840858,00017,03684085800017,O,,NN,,,,true,1,,,,,,39140,COMMENAILLES,,,39160,,,,,,,,,,,,,,,,,,,1991-01-03,F,,,,,67.08,NAP,N
036840874,00014,03684087400014,O,,NN,,,,true,1,,,,RUE,DU PONT,39700,FRAISANS,,,39235,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,67.04,NAP,N
036840882,00041,03684088200041,O,,NN,,,2019-11-14T14:00:36,true,1,,,,RUE,FOSSES SUD,39380,CHISSEY-SUR-LOUE,,,39149,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,52.6E,NAF1993,N
036840932,00028,03684093200028,O,1997-06-01,,,,2012-02-16T08:08:18,false,3,,4,B,RTE,DE DOLE,39500,TAVAUX,,,39526,,,,,,,,,,,,,,,,,,,1998-03-31,F,,,,,70.2C,NAF1993,N
036840932,00036,03684093200036,O,2011-11-01,,,,2019-11-14T14:00:55,true,2,,,,,LE VILLEY,71330,SAINT-GERMAIN-DU-BOIS,,,71419,,,,,,,,,,,,,,,,,,,2013-12-31,F,,,,,01.43Z,NAFRev2,N
036840957,00017,03684095700017,O,,,,,,true,1,,,,RUE,DE BESANCON,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
036840965,00010,03684096500010,O,,,,,,true,1,,2,,RUE,JEAN JOSEPH PALLU,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1988-12-31,F,,,,,62.41,NAP,N
036840981,00017,03684098100017,O,,NN,,,2019-11-14T14:00:36,true,1,,56,,,GRANDE RUE,39410,SAINT-AUBIN,,,39476,,,,,,,,,,,,,,,,,,,1988-12-31,F,,,,,65.03,NAP,N
036841005,00022,03684100500022,O,,NN,,,,true,1,,2,,AV,LEON JOUHAUX,39100,DOLE,,,39198,,,,,,,,,,,,,,,,,,,1995-12-31,F,,,,,70.2C,NAF1993,N
036841013,00018,03684101300018,O,,,,,,true,1,,23,,RUE,NATIONALE,39500,TAVAUX,,,39526,,,,,,,,,,,,,,,,,,,1989-06-12,F,,,,,67.01,NAP,N
