183000033,00450,18300003300450,O,2006-01-01,,,,2017-02-01T15:09:27,false,3,,13,,RUE,MAGAILLE,30000,NIMES,,,30189,,,,,,,,,,,,,,,,,,,2016-12-05,F,CENTRE DE FORMATION,,,,85.59A,NAFRev2,N
183000033,00468,18300003300468,O,2010-03-01,NN,,,2019-11-14T14:00:30,false,3,MAISON DE L'ENTREPRISE - ZA EUZE,,,RUE,FERNAND JARRIE,30200,BAGNOLS-SUR-CEZE,,,30028,,,,,,,,,,,,,,,,,,,2016-12-05,F,RELAIS DE BAGNOLS SUR CEZE,,,,94.11Z,NAFRev2,O
183000033,00476,18300003300476,O,2010-03-01,NN,,,2017-02-01T15:09:27,false,3,MAISON DE PAYS,,,PL,TRIAIRE,30120,LE VIGAN,,BP 21001,30350,30123,LE VIGAN CEDEX,,,,,,,,,,,,,,,,,2016-12-05,F,RELAIS DU VIGAN,,,,94.11Z,NAFRev2,O
183000033,00484,18300003300484,O,2010-03-01,NN,,,2017-02-01T15:09:27,false,3,,12,,AV,DE LA CONDAMINE,30600,VAUVERT,,BP 15,30341,,,,,,,,,,,,,,,,,,,2016-12-05,F,RELAIS DE VAUVERT,,,,94.11Z,NAFRev2,O
183000033,00492,18300003300492,O,2010-03-01,NN,,,2017-02-01T15:09:27,false,3,,,,AV,DE LA CROIX BLANCHE,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2016-12-05,F,RELAIS DE BEAUCAIRE,,,,94.11Z,NAFRev2,O
183000033,00500,18300003300500,O,2013-10-01,NN,,,2018-09-29T12:02:47,false,3,,,,AV,DU LANGUEDOC,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,2016-12-05,F,PARC DES EXPOSITIONS,,,,82.30Z,NAFRev2,O
183000041,00016,18300004100016,O,1983-03-01,NN,,,,false,4,,,,RUE,BERNARD ATON,30000,NIMES,,,30189,30032,NIMES CEDEX 1,,,,,,,,,,,,,,,,,2001-02-27,F,,,,,91.1A,NAF1993,N
183000041,00024,18300004100024,O,1968-01-01,NN,,,,false,4,,,,,MARCHE GARE ST CESAIRE,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,2003-09-04,F,SERVICE INTERDEPART ELEVAGE,,,,91.1A,NAFRev1,N
183000041,00032,18300004100032,O,2001-02-27,21,2019,,2021-10-27T08:04:32,true,3,MAS DE L'AGRICULTURE,1120,,RTE,DE SAINT GILLES,30000,NIMES,,CS 38283,30189,30942,NIMES CEDEX 9,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,94.11Z,NAFRev2,N
183000058,00010,18300005800010,O,1986-01-01,NN,,,,true,1,,281,,CHE,DU MAS COQUILLARD,30900,NIMES,,,30189,,,,,,,,,,,,,,,,,,,1995-08-25,F,,,,,75.1G,NAF1993,O
183000066,00013,18300006600013,O,1995-11-07,,,,,true,1,,,,BD,LOUIS BLANC,30100,ALES,,,30007,,,,,,,,,,,,,,,,,,,2001-09-01,F,,,,,75.2E,NAF1993,N
183009018,00015,18300901800015,O,1994-01-01,,,,2017-04-10T09:24:53,true,3,QUARTIER BRUYERE,,,RUE,VINCENT FAITA,30000,NIMES,,BP 21,30189,30998,NIMES ARMEES,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,56.29B,NAFRev2,N
