068709575,00010,06870957500010,O,,,,,,true,1,,,,BD,DE LA REPUBLIQUE,13600,LA CIOTAT,,,13028,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
068709583,00014,06870958300014,O,,,,,,true,1,,,,RUE,EUGENE POTTIER,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
068709591,00025,06870959100025,O,,,,,,true,1,,,,QUAI,DES GIRONDINS,13500,MARTIGUES,,,13056,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.01,NAP,N
068709609,00017,06870960900017,O,,,,,,true,1,,164,,RUE,SAINT PIERRE,13005,MARSEILLE 5,,,13205,,,,,,,,,,,,,,,,,,,1997-09-30,F,,,,,52.4N,NAF1993,N
068709625,00013,06870962500013,O,,NN,,,,true,1,,10,,RUE,VENTURE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1992-09-30,F,,,,,52.4C,NAF1993,N
068709633,00017,06870963300017,O,,NN,,,,true,1,,,,RUE,VENTURE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
068709674,00011,06870967400011,O,1992-01-31,NN,,,2008-01-04T18:09:08,true,3,,34,,BD,DES GRANDS PINS,13010,MARSEILLE 10,,,13210,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
068709682,00014,06870968200014,O,,,,,,true,1,,,,RUE,DE LA REPUBLIQUE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
068709716,00010,06870971600010,O,,NN,,,2019-11-14T14:00:19,true,1,,236,,BD,VOLTAIRE,13821,LA PENNE-SUR-HUVEAUNE,,,13070,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
068709724,00022,06870972400022,O,,NN,,,,true,1,,47,,AV,CAMILLE PELLETAN,13002,MARSEILLE 2,,,13202,,,,,,,,,,,,,,,,,,,1988-03-15,F,,,,,55.4B,NAF1993,N
068709740,00028,06870974000028,O,,NN,,,,true,1,,26,,RUE,HOCHE,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,1998-08-29,F,,,,,62.44,NAP,N
068709757,00014,06870975700014,O,,,,,,true,1,,,,QUAI,RIVE NEUVE,13007,MARSEILLE 7,,,13207,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
