039002464,00012,03900246400012,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,3,,AV,PRESIDENT WILSON,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002472,00015,03900247200015,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,16,,RUE,GEORGE SAND,75016,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002480,00018,03900248000018,O,1997-12-25,NN,,,2018-09-29T12:00:54,true,3,,37,,RUE,VITAL,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2016-12-31,F,,,,,81.10Z,NAFRev2,O
039002498,00010,03900249800010,O,1997-12-25,,,,2008-01-04T17:58:46,true,2,,51,,AV,DE VILLIERS,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039002522,00017,03900252200017,O,1997-12-25,01,2019,,2021-10-27T08:01:41,true,2,,40,,BD,DE LA BASTILLE,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002530,00010,03900253000010,O,1997-12-25,01,2019,,2021-10-27T08:01:41,true,2,,25,,RUE,DE COTTE,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002563,00011,03900256300011,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,8,,RUE,MAGELLAN,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002589,00016,03900258900016,O,1995-12-25,NN,,,2008-04-26T08:06:56,true,3,RIS REP PAR,48,,RUE,DE PROVENCE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039002613,00014,03900261300014,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,41 A 47,41,,RUE,DES MARTYRS,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002621,00017,03900262100017,O,1995-12-25,NN,,,2017-05-04T01:04:00,true,3,75009 PARIS REP PAR,48,,RUE,DE PROVENCE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2015-03-31,A,,,,,81.10Z,NAFRev2,N
039002654,00018,03900265400018,O,1995-12-25,NN,,,2020-04-17T16:14:23,true,2,,5,,RUE,MANUEL,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002662,00011,03900266200011,O,1995-12-25,NN,,,2008-01-04T17:58:46,true,2,75010 PARIS REP PAR,48,,RUE,DE PROVENCE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039002696,00019,03900269600019,O,1995-12-25,NN,,,2018-09-29T12:00:54,true,3,,126,,BD,VOLTAIRE,75011,PARIS 11,,,75111,,,,,,,,,,,,,,,,,,,2016-06-30,A,,,,,81.10Z,NAFRev2,N
039002704,00011,03900270400011,O,1997-12-25,NN,,,2017-05-04T01:04:00,true,2,,8,,RUE,JULES VALLES,75011,PARIS 11,,,75111,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002712,00014,03900271200014,O,,,,,,true,1,,6,,RUE,GEORGES BERGER,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,1997-12-25,F,,,,,70.3C,NAF1993,N
039002720,00017,03900272000017,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,12,,RUE,CHALIGNY,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002738,00019,03900273800019,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,13,,RUE,CHALIGNY,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002746,00012,03900274600012,O,1995-12-25,NN,,,2018-09-29T12:00:54,true,4,,294,,RUE,DE CHARENTON,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2017-12-31,A,,,,,81.10Z,NAFRev2,N
039002753,00018,03900275300018,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,71,,AV,VICTOR HUGO,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002779,00013,03900277900013,O,1995-12-25,NN,,,2009-06-27T03:08:53,true,2,RIS REP PAR,70,,RUE,DUTOT,75015,PARIS 15,,,75115,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002787,00016,03900278700016,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,P PAR,2,,RUE,DE VIENNE,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002795,00019,03900279500019,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,10,,RUE,JOUVENET,75016,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002803,00011,03900280300011,O,1995-12-25,NN,,,2017-05-04T01:04:00,true,3,,21,,BD,EXELMANS,75016,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2016-06-30,A,,,,,81.10Z,NAFRev2,N
039002829,00016,03900282900016,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,16,,RUE,GABRIEL PERI,94220,CHARENTON-LE-PONT,,,94018,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002829,00024,03900282900024,O,2013-01-01,NN,,,2018-09-29T12:00:54,false,1,,56,,RUE,CORIOLIS,75012,PARIS 12,,,75112,,,,,,,,,,,,,,,,,,,2013-01-01,A,,,,,81.10Z,NAFRev2,O
039002878,00013,03900287800013,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,26,,AV,CLAUDE VELLEFAUX,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002886,00016,03900288600016,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,,223,,RUE,LA FAYETTE,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002894,00010,03900289400010,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,2,18 R GUSTAVE COURBET,,,RUE,GUSTAVE COURBET,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002902,00011,03900290200011,O,1995-12-25,NN,,,2008-01-04T17:58:46,true,3,18 R GUSTAVE COURBET,,,RUE,GUSTAVE COURBET,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039002910,00014,03900291000014,O,1995-12-25,00,2018,,2020-08-25T10:11:17,true,3,RIS REP PAR,30,,RUE,BOISSY D'ANGLAS,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002928,00016,03900292800016,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,3,18 R GUSTAVE COURBET,,,RUE,GUSTAVE COURBET,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2020-06-30,A,,,,,81.10Z,NAFRev2,N
039002936,00019,03900293600019,O,1995-12-25,01,2019,,2021-10-27T08:01:41,true,3,C ILE DE FRANCE,30,,RUE,BOISSY D'ANGLAS,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039002944,00013,03900294400013,O,,,,,,true,1,,76,,RUE,DES MARTYRS,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,1997-12-25,F,,,,,70.3C,NAF1993,N
