301074472,00038,30107447200038,O,1983-05-16,NN,,,2014-07-08T00:11:03,false,7,Z.I HAUT VIGNEAU,18,,RUE,DE LA SOURCE,33170,GRADIGNAN,,,33192,33173,GRADIGNAN CEDEX,,,,,,,,,,,,,,,,,2009-09-28,F,,,,,68.20B,NAFRev2,O
301074472,00046,30107447200046,O,2009-09-28,,,,2010-10-19T13:55:55,false,2,,12,,RUE,CAMILLE PELLETAN,33400,TALENCE,,,33522,,,,,,,,,,,,,,,,,,,2010-10-01,F,,,,,68.20B,NAFRev2,N
301074472,00053,30107447200053,O,2010-10-01,,,,2018-01-16T04:16:50,true,3,RESIDENCE LES LUMIERES D'ORNANO-,24,,RUE,GENERAL DE LARMINAT,33000,BORDEAUX,,,33063,,,,,,,,,,,,,,,,,,,2017-11-13,F,,,,,64.20Z,NAFRev2,N
301074480,00056,30107448000056,O,,NN,,,,true,1,,2,,RUE,DU PLANT LOGER,95330,DOMONT,,,95199,,,,,,,,,,,,,,,,,,,1994-02-01,F,,,,,51.6L,NAF1993,O
301074498,00025,30107449800025,O,1900-01-01,NN,,,2008-11-07T00:17:09,true,5,,,,CHE,DE L ILE,33270,BOULIAC,,,33065,,,,,,,,,,,,,,,,,,,2007-06-20,F,,,,,24.5A,NAFRev1,N
301074514,00011,30107451400011,O,,NN,,,,true,1,,63,,RUE,PORTE DU PONT,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1988-12-25,F,,,,,79.06,NAP,N
301074555,00014,30107455500014,O,,,,,,true,1,,162,,,VIEILLE ROUTE DE ROSPORDEN,29000,QUIMPER,,,29232,,,,,,,,,,,,,,,,,,,1987-03-30,F,,,,,58.11,NAP,N
301074563,00026,30107456300026,O,,NN,,,,true,1,,69,,RUE,CHARLES LE GOFFIC,29000,QUIMPER,,,29232,,,,,,,,,,,,,,,,,,,1996-07-15,F,,,,,50.2Z,NAF1993,O
301074571,00011,30107457100011,O,,,,,,true,1,,,,RUE,FRANCOIS VALENTIN,29000,QUIMPER,,,29232,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.05,NAP,N
301074589,00013,30107458900013,O,,NN,,,,true,1,,4,,RUE,AMIRAL RONARC H,29000,QUIMPER,,,29232,,,,,,,,,,,,,,,,,,,1987-09-01,F,,,,,81.21,NAP,N
