275801231,00018,27580123100018,O,,NN,,,2019-11-14T14:00:46,true,1,,,,PL,DU DOCTEUR JULES MOINEAU,58200,COSNE-COURS-SUR-LOIRE,,,58086,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801249,00010,27580124900010,O,,NN,,,,true,1,,,,,MAIRIE,58440,MYENNES,,,58187,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801256,00015,27580125600015,O,,NN,,,,true,1,,,,,MAIRIE,58300,CHAMPVERT,,,58055,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801264,00019,27580126400019,O,,NN,,,,true,1,,,,,MAIRIE,58300,CHARRIN,,,58060,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801272,00012,27580127200012,O,,NN,,,2019-11-14T14:00:46,true,1,,,,,MAIRIE,58240,FLEURY-SUR-LOIRE,,,58115,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801280,00015,27580128000015,O,,NN,,,,true,1,,,,,MAIRIE,58130,URZY,,,58300,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,41.0Z,NAF1993,N
275801298,00017,27580129800017,O,,NN,,,,true,1,,,,,MAIRIE,58130,URZY,,,58300,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,90.0A,NAF1993,N
275801306,00018,27580130600018,O,,NN,,,2019-11-14T14:00:47,true,1,,,,,MAIRIE,58130,SAINT-AUBIN-LES-FORGES,,,58231,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,41.0Z,NAF1993,N
275801314,00012,27580131400012,O,,NN,,,,true,1,,,,,MAIRIE,58130,SAINT MARTIN D'HEUILLE,,,58254,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,41.0Z,NAF1993,N
275801322,00015,27580132200015,O,,NN,,,,true,1,,,,,MAIRIE,58700,NOLAY,,,58196,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,41.0Z,NAF1993,N
275801330,00018,27580133000018,O,,NN,,,,true,1,,,,,MAIRIE,58130,POISEUX,,,58212,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,41.0Z,NAF1993,N
