039342951,00017,03934295100017,O,1995-12-25,NN,,,2009-06-27T03:10:23,true,3,REP PAR,15,,BD,GOUVION ST CYR,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039342969,00019,03934296900019,O,1995-12-25,01,2019,,2021-10-27T08:02:41,true,2,AUR REP PAR,58,,AV,CAFFIN,94210,SAINT-MAUR-DES-FOSSES,,,94068,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039342977,00012,03934297700012,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,2,,18,,AV,JOFFRE,94160,SAINT-MANDE,,,94067,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039343025,00019,03934302500019,O,1995-12-25,01,2019,,2021-10-27T08:02:41,true,2,92 COURBEVOIE REP PA,23,,RUE,CHAUCHAT,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343041,00016,03934304100016,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,3,,1,,RUE,PAUL CLAUDEL,91000,EVRY-COURCOURONNES,,,91228,,,,,,,,,,,,,,,,,,,2016-01-01,A,,,,,81.10Z,NAFRev2,N
039343058,00010,03934305800010,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,2,27-29,27,,AV,DU PARC AUX BICHES,91000,EVRY-COURCOURONNES,,,91228,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039343066,00013,03934306600013,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,3,44-46,44,,AV,DE LA REPUBLIQUE,93800,EPINAY-SUR-SEINE,,,93031,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343074,00017,03934307400017,O,1995-12-25,NN,,,2011-04-23T04:04:32,true,3,,10,,RUE,DE GEROFOSSE,91150,ETAMPES,,,91223,,,,,,,,,,,,,,,,,,,2009-09-30,A,,,,,81.10Z,NAFRev2,N
039343082,00010,03934308200010,O,,,,,,true,1,,84,,RUE,SEGOFFIN,92400,COURBEVOIE,,,92026,,,,,,,,,,,,,,,,,,,1997-12-25,F,,,,,70.3C,NAF1993,N
039343108,00013,03934310800013,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,3,ESSON 95 DEUIL LA BA,59,,AV,DIVISION LECLERC,95170,DEUIL-LA-BARRE,,,95197,,,,,,,,,,,,,,,,,,,2010-06-30,A,,,,,81.10Z,NAFRev2,N
039343116,00016,03934311600016,O,1995-12-25,01,2019,,2021-10-27T08:02:41,true,2,,3,,RUE,DE L EGALITE,91150,ETAMPES,,,91223,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343165,00013,03934316500013,O,1995-12-25,NN,,,2014-06-13T23:06:15,true,3,,,,RPT,DES SEPT MARES,78990,ELANCOURT,,,78208,,,,,,,,,,,,,,,,,,,2012-12-31,A,,,,,81.10Z,NAFRev2,N
039343173,00017,03934317300017,O,1995-12-25,,,,2008-01-04T18:02:50,true,2,,7,,SQ,DE CLIGNANCOURT,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039343181,00010,03934318100010,O,1995-12-25,NN,,,2008-01-04T18:02:50,true,3,LA BARRE REP PAR,15,,BD,DE L ORANGERIE,95160,MONTMORENCY,,,95428,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
039343199,00012,03934319900012,O,1995-12-25,NN,,,2008-01-04T18:02:50,true,2,,65,,RUE,DE LEVIS,75017,PARIS 17,,,75117,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343207,00013,03934320700013,O,1995-12-25,01,2019,,2021-10-27T08:02:41,true,2,NT REP PAR,4,B,PL,NOTRE DAME,95300,PONTOISE,,,95500,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343215,00016,03934321500016,O,1995-12-25,NN,,,2019-11-14T14:01:05,true,3,LES BAINS,15,,RUE,DE L ARRIVEE,95880,ENGHIEN-LES-BAINS,,,95210,,,,,,,,,,,,,,,,,,,2013-04-12,A,,,,,81.10Z,NAFRev2,N
039343249,00015,03934324900015,O,1995-12-25,01,2018,,2020-08-25T10:12:10,true,2,REP PAR,127,,RUE,FERAY,91100,CORBEIL-ESSONNES,,,91174,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343256,00010,03934325600010,O,1974-11-21,NN,,,2019-11-14T14:01:05,true,6,,2,,RUE,MIRABEAU,94120,FONTENAY-SOUS-BOIS,,,94033,,,,,,,,,,,,,,,,,,,2015-05-31,A,,,,,68.20B,NAFRev2,N
039343264,00014,03934326400014,O,1995-12-25,NN,,,2019-06-24T13:06:06,true,2,,157,,BD,MAXIME GORKI,94800,VILLEJUIF,,,94076,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343272,00017,03934327200017,O,1995-12-25,NN,,,2008-01-04T18:02:50,true,3,,96,,RUE,DU THEATRE,75015,PARIS 15,,,75115,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,O
039343314,00017,03934331400017,O,1995-12-25,NN,,,2008-01-04T18:02:50,true,2,DES 92 VILLE D'AVRAY,48,,RUE,DE JOUY,78220,VIROFLAY,,,78686,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,81.10Z,NAFRev2,N
