072703572,00015,07270357200015,O,1972-01-01,NN,,,,true,1,,8,,RUE,D ORANGE,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,2001-03-31,F,,,,,52.4R,NAF1993,O
072703580,00018,07270358000018,O,,,,,,true,1,,,,RUE,GUICHARD,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.08,NAP,N
072703598,00010,07270359800010,O,,NN,,,,true,1,,66,,RUE,SAUVEUR TOBELEM,13007,MARSEILLE 7,,,13207,,,,,,,,,,,,,,,,,,,,F,,,,,38.40,NAP,N
072703622,00034,07270362200034,O,1982-11-01,NN,,,2006-10-26T23:37:30,true,3,,126,,RUE,CHARRAS,13007,MARSEILLE 7,,,13207,,,,,,,,,,,,,,,,,,,2006-02-28,F,,,,,52.4C,NAFRev1,N
072703655,00018,07270365500018,O,,,,,,true,1,,,,BD,DE BEAUMONT,13012,MARSEILLE 12,,,13212,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
072703671,00015,07270367100015,O,,NN,,,,true,1,,243,,RUE,DE LYON,13015,MARSEILLE 15,,,13215,,,,,,,,,,,,,,,,,,,1983-03-28,F,,,,,70.2C,NAF1993,N
072703697,00010,07270369700010,O,,NN,,,,true,1,,4,,RUE,VACON,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,,F,,,,,62.41,NAP,N
072703721,00018,07270372100018,O,,NN,,,,true,1,,75,,AV,DE LA CORSE,13007,MARSEILLE 7,,,13207,,,,,,,,,,,,,,,,,,,1989-07-31,F,,,,,64.24,NAP,N
072703739,00010,07270373900010,O,,,,,,true,1,,,,RUE,DE LA LIBERTE,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N
072703788,00017,07270378800017,O,,,,,,true,1,,,,CHE,JOSEPH AIGUIER,13009,MARSEILLE 9,,,13209,,,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,85.04,NAP,N
072703796,00010,07270379600010,O,,NN,,,,true,1,,,,CHE,JOSEPH AIGUIER,13009,MARSEILLE 9,,,13209,,,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,85.04,NAP,N
072703887,00017,07270388700017,O,,,,,,true,1,,,,AV,PROF RENE LERICHE,13260,CASSIS,,,13022,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,86.06,NAP,N
072703895,00010,07270389500010,O,,,,,,true,1,,,,AV,CLOT BEY,13008,MARSEILLE 8,,,13208,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
072703911,00031,07270391100031,O,,,,,,true,1,,134,,BD,DE LA VALBARELLE,13011,MARSEILLE 11,,,13211,,,,,,,,,,,,,,,,,,,1988-04-26,F,,,,,55.4B,NAF1993,N
072703952,00019,07270395200019,O,,,,,,true,1,,,,RUE,COLBERT,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
072703960,00020,07270396000020,O,,NN,,,,true,1,,10,,RUE,DE L ETOILE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.11,NAP,N
072703978,00014,07270397800014,O,,,,,,true,1,,,,RUE,FELIX PYAT,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,38.50,NAP,N
072703986,00017,07270398600017,O,1963-01-01,NN,,9601BR,2015-12-18T19:23:31,true,4,,279,,AV,DU PRADO,13008,MARSEILLE 8,,,13208,,,,,,,,,,,,,,,,,,,2014-05-05,F,,,,,68.20B,NAFRev2,N
072703994,00029,07270399400029,O,,,,,2019-11-14T14:00:19,true,1,,,,,ZUP LE MAILLANE,13090,AIX-EN-PROVENCE,,,13001,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.46,NAP,N
072704000,00040,07270400000040,O,1987-08-31,NN,,,2008-11-07T00:16:20,true,4,,54,,BD,DE PLOMBIERES,13014,MARSEILLE 14,,,13214,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,45.3E,NAF1993,O
072704034,00015,07270403400015,O,,,,,,true,1,,,,RUE,PARADIS,13006,MARSEILLE 6,,,13206,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
072704042,00034,07270404200034,O,1900-01-01,NN,,,,true,3,,,,IMP,JEAN OLIVIER,13600,LA CIOTAT,,,13028,,,,,,,,,,,,,,,,,,,2003-12-31,F,,,,,52.6D,NAFRev1,N
072704067,00015,07270406700015,O,,NN,,,,true,1,,38,,RUE,DU BON PASTEUR,13002,MARSEILLE 2,,,13202,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
072704083,00012,07270408300012,O,,,,,,true,1,,36,,AV,DES GOUMS,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,1990-02-14,F,,,,,48.05,NAP,N
072704190,00023,07270419000023,O,1998-05-02,NN,,,2006-11-25T09:05:54,true,3,,58,,RUE,PIERRE ALBRAND,13002,MARSEILLE 2,,,13202,,,,,,,,,,,,,,,,,,,2005-12-25,F,,,,,60.2L,NAFRev1,N
072704216,00018,07270421600018,O,,,,,,true,1,,,,,,13016,MARSEILLE 16,,,13216,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
072704257,00012,07270425700012,O,,,,,,true,1,,8,,BD,LEFEVRE,13011,MARSEILLE 11,,,13211,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.46,NAP,N
072704265,00015,07270426500015,O,1972-01-01,NN,,,,true,4,,35,,RUE,DE LA LOGE,13002,MARSEILLE 2,,,13202,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N
072704331,00023,07270433100023,O,,,,,,true,1,,13,,RUE,D AIX,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1997-11-28,F,,,,,52.4C,NAF1993,N
072704364,00016,07270436400016,O,,NN,,,,true,1,,31,,BD,BAILLE,13006,MARSEILLE 6,,,13206,,,,,,,,,,,,,,,,,,,1997-06-15,F,,,,,81.11,NAP,N
072704406,00015,07270440600015,O,1972-01-01,NN,,,2014-07-08T00:10:35,true,5,,8,,RUE,D AUBAGNE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,2013-03-31,F,,,,,10.71D,NAFRev2,O
072704414,00019,07270441400019,O,1972-01-01,NN,,,2008-01-04T18:09:57,true,4,,27,,AV,DES CHUTES LAVIE,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
072704422,00012,07270442200012,O,1965-01-01,NN,,,2010-04-18T03:05:41,true,5,,14,,RUE,GRANDE,13390,AURIOL,,,13007,,,,,,,,,,,,,,,,,,,2008-12-03,F,,,,,10.71D,NAFRev2,O
072704430,00023,07270443000023,O,,,,,,true,1,,48,,RUE,SAINT BAZILE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1994-05-31,F,,,,,70.3C,NAF1993,N
072704448,00017,07270444800017,O,,,,,,true,1,,,,RUE,PAUL CODACCIONI,13007,MARSEILLE 7,,,13207,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,63.05,NAP,N
072704471,00019,07270447100019,O,1972-01-01,NN,,,2018-04-24T19:33:57,true,6,,44,,RUE,DE LA LOUBIERE,13006,MARSEILLE 6,,,13206,,,,,,,,,,,,,,,,,,,2018-04-01,F,,,,EBENISTERIE BERNARDONI,31.09B,NAFRev2,N
072704489,00011,07270448900011,O,,NN,,,,true,1,,27,,RUE,DE LA LOUBIERE,13006,MARSEILLE 6,,,13206,,,,,,,,,,,,,,,,,,,1994-11-14,F,,,,,55.4B,NAF1993,N
072704513,00018,07270451300018,O,,,,,,true,1,,,,BD,DE SAINT MARCEL,13011,MARSEILLE 11,,,13211,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
072704588,00028,07270458800028,O,,NN,,,,true,1,,11,,CRS,VOLTAIRE,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N
072704604,00015,07270460400015,O,,,,,,true,1,,5,,BD,JEAN BAPTISTE IVALDI,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,1986-09-10,F,,,,,58.03,NAP,N
072704612,00026,07270461200026,O,1982-02-15,NN,,,,true,3,,129,,RUE,BRETEUIL,13006,MARSEILLE 6,,,13206,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,55.73,NAP,N
072704653,00012,07270465300012,O,,NN,,,,true,1,,2,,RUE,EUGENE POTTIER,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,1987-04-30,F,,,,,69.12,NAP,N
072704679,00017,07270467900017,O,,NN,,,,true,1,,121,,RUE,FELIX PYAT,13003,MARSEILLE 3,,,13203,,,,,,,,,,,,,,,,,,,,F,,,,,64.43,NAP,N
072704695,00047,07270469500047,O,1989-02-09,NN,,,,true,1,,17,,CRS,BELSUNCE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,1998-06-30,F,,,,,93.0D,NAF1993,O
